gene,mean_expr_AKI,mean_expr_reference,diff_mean_expr,pct_expr_AKI,pct_expr_reference,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
A2M,0.21363554761134343,,,0.09744640447753736,,,,,0.0005389882252747,,UP_in_reference
AAK1,0.3071566838798852,,,0.23517065613912347,,,,,0.0001575343767342,,UP_in_reference
AAMDC,0.28894315288112177,,,0.238268952076358,,,,,0.0001339908960691,,UP_in_reference
AAMP,0.2213834149107644,,,0.18589775623407126,,,,,0.0001075455043051,,UP_in_reference
ABCB1,0.2064204469898908,,,0.14896806756284045,,,,,0.0001035406552019,,UP_in_reference
ABCD3,0.2256747787109121,,,0.18839638198990555,,,,,0.0001191829225326,,UP_in_reference
ABHD14A,0.233741301634306,,,0.1942931387736745,,,,,0.000102668693473,,UP_in_reference
ABHD14B,0.29510116197362324,,,0.23602018889610715,,,,,0.0001032275543878,,UP_in_reference
ABHD17A,0.382219672853127,,,0.25515966218579783,,,,,0.0001744734291441,,UP_in_reference
ABLIM1,0.2750274842741105,,,0.21528159512268252,,,,,0.0001460991294279,,UP_in_reference
ABRACL,0.4912739702586947,,,0.3282694518015092,,,,,0.0002838353101493,,UP_in_reference
ACAA1,0.44970629283086383,,,0.3186747288991055,,,,,0.0002051393972397,,UP_in_reference
ACAA2,0.436186939455448,,,0.30927989605716855,,,,,0.0001530719322794,,UP_in_reference
ACADM,0.4157988115292829,,,0.3056818749687672,,,,,0.0002199673794735,,UP_in_reference
ACADVL,0.7653356023424305,,,0.4825346059667183,,,,,0.0003988568482754,,UP_in_reference
ACAP2,0.25079065438901654,,,0.19099495277597323,,,,,0.0001155791105271,,UP_in_reference
ACAT1,0.4895269926882079,,,0.33291689570736094,,,,,0.0002535010791203,,UP_in_reference
ACO1,0.18714882386709442,,,0.15396531907450903,,,,,0.0001067756406928,,UP_in_reference
ACO2,0.3340540863859089,,,0.2615061716056169,,,,,0.0002289010030055,,UP_in_reference
ACOT13,0.21488298746541135,,,0.1733546549397831,,,,,0.0001010638476799,,UP_in_reference
ACP1,0.4239921186147345,,,0.32272250262355706,,,,,0.0001431038435707,,UP_in_reference
ACSL1,0.2765914558329994,,,0.21143371145869772,,,,,0.0002357054566136,,UP_in_reference
ACSL3,0.21421476109192467,,,0.17460396781770027,,,,,0.0001297601357623,,UP_in_reference
