gene,importance,mean_positive,mean_negative,diff_expression,direction,combined_score
RPS4Y1,0.026652504589129742,0.30654663646288766,0.21363554761134343,0.09291108885154423,UP_in_CKD,0.0024763132219968237
MT-ATP6,0.0025692956933957532,1.0427258492853706,0.5175922711097967,0.5251335781755739,UP_in_CKD,0.0013492234408640042
MT-ND1,0.006679980160458678,0.3489685346481409,0.4912739702586947,-0.14230543561055375,UP_in_AKI,0.0009505974866039289
RACK1,0.0052842989196431305,0.6427701159067397,0.4895269926882079,0.15324312321853184,UP_in_CKD,0.000809782470466427
SNHG29,0.009622894520750944,0.36679158411440965,0.28894315288112177,0.07784843123328788,UP_in_CKD,0.0007491272423638626
UQCR11.1,0.003508347308630678,2.6805251290644714,2.878027401268017,-0.19750227220354555,UP_in_AKI,0.0006929065651337526
ADIRF,0.005513870007328508,0.8828386901008116,0.7653356023424305,0.11750308775838114,UP_in_CKD,0.0006478967513594274
ATP1B1,0.0015143759159892342,0.6888058505988918,0.28396877656200453,0.40483707403688723,UP_in_CKD,0.0006130755148210126
MICOS10,0.005810890241876991,0.5199434133467058,0.4157988115292829,0.10414460181742291,UP_in_CKD,0.0006051728504450275
RNASEK,0.008781588329095273,0.2750772765736152,0.2064204469898908,0.0686568295837244,UP_in_CKD,0.0006029160133851173
NME2,0.007992349274890885,0.36276802429083244,0.29510116197362324,0.0676668623172092,UP_in_CKD,0.0005408171979750883
RPL17,0.008926382846846716,0.27914695108506504,0.2213834149107644,0.057763536174300634,UP_in_CKD,0.0005156194384794869
RPL32,0.0007631910209062279,2.018910481551282,1.3463406515330187,0.6725698300182632,UP_in_CKD,0.0005132992552023664
ATP5MC1,0.0007127291415114187,1.6825495517702036,2.383818045621173,-0.7012684938509692,UP_in_AKI,0.0004998144915914069
MT-ND2,0.006723814794056503,0.346747310157738,0.2750274842741105,0.07171982588362752,UP_in_CKD,0.0004822308263034912
XIST,0.015767309525561088,0.33676958791604267,0.3071566838798852,0.02961290403615746,UP_in_CKD,0.0004669158238888319
FXYD2,0.007049609433402924,0.3176327962826668,0.382219672853127,-0.06458687657046025,UP_in_AKI,0.00045531225434514687
MT-ND4L,0.00854758281787274,0.27846918735341647,0.2256747787109121,0.05279440864250437,UP_in_CKD,0.0004512645801924224
ATP5D,0.00248698053293494,0.706339663036959,0.8813042052995622,-0.17496454226260316,UP_in_AKI,0.0004351334105609666
RPL36A,0.0034082071488161013,0.8631776777663104,0.7422574084719633,0.12092026929434707,UP_in_CKD,0.0004121213262457618
GPX1,0.002585151351598643,0.8158093735524845,0.6621036820382583,0.1537056915142262,UP_in_CKD,0.0003973524761664059
GABARAP,0.006233416090122881,0.49807621594432616,0.436186939455448,0.06188927648887815,UP_in_CKD,0.0003857816118718368
SERF2,0.0021426936873228794,0.22292348215332147,0.39334039455913183,-0.17041691240581036,UP_in_AKI,0.00036515124242498593
RTN4,0.0006893775564050271,1.211444364457783,1.725345189634979,-0.5139008251771959,UP_in_AKI,0.00035427169509518234
GSTP1,0.0021410456883807307,0.8016282303525679,0.6364503263286336,0.16517790402393429,UP_in_CKD,0.00035365343922621063
ATP5J2,0.0022024620395964616,0.7867274477723679,0.6263055203073246,0.16042192746504336,UP_in_CKD,0.00035332320556065504
EEF1G,0.008095397439072198,0.27674256419801135,0.233741301634306,0.043001262563705345,UP_in_CKD,0.0003481123108350914
RPL13,0.0026228815754085243,0.37278651530699924,0.5038626287894511,-0.13107611348245185,UP_in_AKI,0.0003437971230292798
ISG15,0.001093790866252515,1.385417163986731,1.073690550437139,0.31172661354959197,UP_in_CKD,0.00034096372266837117
ATP5I,0.003039637220988131,0.4928860266982356,0.6041311282460177,-0.11124510154778205,UP_in_AKI,0.00033814475131724265
ACTG1,0.0007088869346790579,1.152298148648326,1.622767305674719,-0.470469157026393,UP_in_AKI,0.0003335094385854801
CYBA,0.0040566464017269335,0.42584994852781255,0.34396832206739836,0.08188162646041419,UP_in_CKD,0.0003321648053481881
MT-CO1,0.0016871154194366086,0.3189709616583637,0.124460787438699,0.1945101742196647,UP_in_CKD,0.00032816111416329746
MMP7,0.0007308110750956447,1.0606656613820433,1.5089437523385953,-0.448278090956552,UP_in_AKI,0.000327606593593781
RPL28,0.004120280200997516,0.29362612941954364,0.21421476109192467,0.07941136832761897,UP_in_CKD,0.00032719708865440965
RPL26,0.0007088271831898128,1.018581875558152,1.4667235528320903,-0.4481416772739384,UP_in_AKI,0.0003176550027720439
POLD4,0.001021930551746319,0.5845634078511776,0.2908099164660552,0.29375349138512236,UP_in_CKD,0.0003001956675286057
NGFRAP1,0.0017382165298419465,0.5593107907214484,0.4071703918213882,0.1521403989000602,UP_in_CKD,0.00026445295622483215
