gene,mean_expression,variance,rank
S100A10,2.037757300157924,1.2729584551107207,82
JUN,0.8890607543910992,1.272170057654757,83
SH3BGRL3,1.2574640734613844,1.2653093346344657,84
CHCHD10,1.4487671953986976,1.2648754711805816,85
CD63,1.944192132099715,1.264465448813703,86
ATP5MD,1.1586875276270039,1.256210970193889,87
CD81,1.5787485554654999,1.2511173218332874,88
MT-CO1,5.0190483897456515,1.2503737199272216,89
APP,1.2264879280891274,1.242885437206784,90
ATP5PF,1.172406952864911,1.2375429199598094,91
HSD11B2,0.6468137625741822,1.234588450063315,92
ATP5IF1,1.160441001535753,1.232453898728267,93
ATP5ME,1.190380061388955,1.232346426119874,94
COX7B,1.672966107617098,1.2268047239269197,95
PPDPF,1.8261051157400257,1.2265229911079256,96
MT-ND5,2.637893758698128,1.2245611223324753,97
HLA-C,1.6711590615757295,1.223000037796644,98
HLA-E,1.0666804585380378,1.2218753578763102,99
CYSTM1,1.314454144310151,1.217924107907806,100
TXN,1.4420828492125055,1.215446482945068,101
MT-CO2,4.857670341571381,1.2153262262736533,102
UQCR11,1.223375451021233,1.2112288196965797,103
ELOB,1.2675837737849571,1.20530665453262,104
ALDOB,0.3787093139190651,1.1913044581008503,105
KRT18,1.0037431396437906,1.1814188725263854,106
GATM,0.5653151866228707,1.176873611252921,107
HLA-A,1.7503506417294477,1.1757859607243764,108
JUND,1.5363825774299233,1.1726748458292602,109
NDUFA4,2.2663469677666965,1.1718412085685959,110
MT-ND2,3.597948859356521,1.1712410306144303,111
CDH16,0.8570814215584805,1.1710351950516253,112
RTN4,1.3066360975803342,1.165178076595764,113
BCAM,0.9435349126966968,1.1547702460408105,114
TSPAN1,0.8105082670977927,1.1534636671918062,115
ATP6V0B,1.2727421731254074,1.1514248841401116,116
CKB,0.8885199425192455,1.1504588004421588,117
DSTN,1.5046801064765456,1.147596799768508,118
TIMP1,0.7889223771110845,1.1475406682239937,119
MGST3,1.6649139437518234,1.1391826480293283,120
FTH1,3.396850985088952,1.1381950396347538,121
PRDX1,1.8540591102816566,1.1359771013054303,122
UQCRQ,1.5418856853737253,1.127738375935472,123
