gene,importance,mean_positive,mean_negative,diff_expression,direction,combined_score
DPEP1,0.0008245679229937571,1.725345189634979,1.282792151338721,0.4425530382962579,UP_in_AKI,0.000364915039602522
SEPP1,0.002029475038175425,0.08626067036926804,0.2626398293725178,-0.17637915900324974,UP_in_Ref,0.00035795710045146957
MUC1,0.0009155357366740648,1.3463406515330187,1.735316060980201,-0.38897540944718223,UP_in_Ref,0.00035612088803632197
IL32,0.00130071113021911,0.2908099164660552,0.5526253457079551,-0.2618154292418999,UP_in_Ref,0.000340546242878033
RPL26,0.0003726164060043653,0.7134869349121885,1.596145587092412,-0.8826586521802234,UP_in_Ref,0.000328893094704052
ADIRF,0.005742830804641474,0.21488298746541135,0.2705910482515693,-0.055708060786157976,UP_in_Ref,0.00031992196754958773
MT-ND5,0.00191743625376071,0.75676008073191,0.9213274733351571,-0.16456739260324704,UP_in_Ref,0.000315547484764338
TIMP3,0.003509969157663298,0.8813042052995622,0.9703656522926728,-0.08906144699311058,UP_in_Ref,0.00031260293208268283
GADD45A,0.005390157868592896,0.34396832206739836,0.28689842172976265,0.057069900337635704,UP_in_AKI,0.00030761577236471945
MT-ATP6,0.002014191615673623,0.45650931475975226,0.6075809106109916,-0.15107159585123936,UP_in_Ref,0.0003042871417300004
MT1X,0.0012664698221841859,0.6680540182655511,0.9038983564481717,-0.23584433818262063,UP_in_Ref,0.00029868973704129056
RPS2,0.0008897544916741314,1.5089437523385953,1.1756359197172375,0.3333078326213579,UP_in_AKI,0.00029656214118502276
ALDH6A1,0.0005777007569888946,0.28739032853019303,0.7966128114284972,-0.5092224828983041,UP_in_Ref,0.0002941782138461147
RPL37A,0.0033673482624807095,0.19846279693986085,0.28419332050114265,-0.0857305235612818,UP_in_Ref,0.0002886845295556438
GLTSCR2,0.0039476234916149345,0.2762037958197739,0.3490856914451376,-0.07288189562536374,UP_in_Ref,0.0002877102832841136
TSPAN1,0.0030194815311963574,0.3639879110307483,0.4571395357105253,-0.093151624679777,UP_in_Ref,0.00028126961032152146
MMP7,0.0032373346538727477,0.21140070504411618,0.29776511872802247,-0.0863644136839063,UP_in_Ref,0.0002795905092803116
NDUFA13,0.0012966830603207895,0.27072256824603663,0.479800762824949,-0.20907819457891236,UP_in_Ref,0.0002711081531929296
CALM1,0.0007688041929570529,0.05570346273172103,0.4080421185811326,-0.35233865584941154,UP_in_Ref,0.0002708794359578796
RACK1,0.0035456471340582192,0.3658537951561842,0.44173912897565765,-0.07588533381947343,UP_in_Ref,0.0002690626163740672
MT1M,0.001877925772634573,0.33978792253641305,0.4806928585483234,-0.14090493601191034,UP_in_Ref,0.0002646090108281918
ZFP36,0.008472433819180652,0.25079065438901654,0.2820202371453412,-0.031229582756324648,UP_in_Ref,0.00026459057310358584
TACC1,0.0009103662631430572,0.34056278774989984,0.6212883342038468,-0.28072554645394693,UP_in_Ref,0.00025556306669407235
UQCRH,0.0002525349105437085,1.9707280366843962,1.0128269676947206,0.9579010689896756,UP_in_AKI,0.0002419034607670305
IER2,0.0008671350198415307,1.4667235528320903,1.188770924692152,0.27795262813993826,UP_in_AKI,0.00024102245771713096
RHCG,0.0023923629085911267,0.21985967056279557,0.3189855243627403,-0.09912585379994474,UP_in_Ref,0.00023714501591341457
MYL6,0.0005026556073667438,0.15268890483559988,0.6213701446073667,-0.46868123977176684,UP_in_Ref,0.00023558525323887593
FOS,0.0024804160021766946,0.39340810411834376,0.4878060188012062,-0.09439791468286246,UP_in_Ref,0.0002341460981514824
RPS27A,0.0005066431086226,0.4681705754423806,0.926278917627508,-0.4581083421851274,UP_in_Ref,0.00023209743457061873
TMBIM4.1,0.0018495387205812656,0.6390091808049467,0.7640935905172762,-0.12508440971232948,UP_in_Ref,0.0002313484591040047
GAS6,0.001243737501189207,0.4067628545089777,0.5902296877368898,-0.18346683322791207,UP_in_Ref,0.00022818458070998036
ATP5B,0.000826321165903822,1.2145832084524528,0.9385257951557578,0.276057413296695,UP_in_AKI,0.00022811208361171826
NFKBIA,0.005952078421951455,0.18714882386709442,0.22529434646564406,-0.03814552259854964,UP_in_Ref,0.00022704514195288892
NACA,0.0007385620849896486,0.06824173725963474,0.37561758755737357,-0.30737585029773884,UP_in_Ref,0.0002270161488713641
RPS26,0.0025473133405031433,0.3333328016218227,0.421864589845736,-0.08853178822391328,UP_in_Ref,0.00022551820520137338
ATP5I,0.002848969940761126,0.221495650769521,0.2998231631902342,-0.07832751242071323,UP_in_Ref,0.00022315272842120574
TRBC2,0.000389595210685471,1.0613069295612576,1.6298987575669939,-0.5685918280057363,UP_in_Ref,0.0002215206530259319
RPS4X,0.0008848931514626685,1.3158205034145074,1.0683480512869057,0.24747245212760172,UP_in_AKI,0.00021898667806338783
RPS29,0.0022791385279105035,0.2360595912104746,0.33197100883768643,-0.09591141762721184,UP_in_Ref,0.0002185954071806931
CLCNKB,0.0015481261688270265,0.7816105914424901,0.6434767379569499,0.1381338534855402,UP_in_AKI,0.00021384863338188315
UQCR11.1,0.002203228546007173,0.645488187018193,0.5494679198184947,0.09602026719969825,UP_in_AKI,0.00021155459368961142
PTGER3,0.0007092970213497158,3.6190487434810303,3.3263563241907392,0.2926924192902911,UP_in_AKI,0.0002076058611742456
C14orf2,0.0009164258442125613,1.1082243812480082,1.3292062316922137,-0.2209818504442056,UP_in_Ref,0.00020251347884898507
TNFRSF12A,0.000507466677411198,0.4515674113857364,0.8493412625791805,-0.3977738511934441,UP_in_Ref,0.00020185697462619338
RPS19,0.0030546198993654738,0.31309266219101894,0.24716712943478014,0.0659255327562388,UP_in_AKI,0.0002013774442334774
EIF1,0.002065000190876631,0.45386253065546955,0.5513280518763792,-0.09746552122090968,UP_in_Ref,0.0002012663199250688
FTH1,0.0007941213398852319,0.08603241138152022,0.3394624033923586,-0.2534299920108384,UP_in_Ref,0.00020125416482275058
HSPB1,0.0004105271592852701,1.264929921576514,0.7762165542824456,0.48871336729406833,UP_in_AKI,0.0002006301103799727
ALDOA,0.0027545769364851124,0.6364503263286336,0.7084789268660013,-0.0720286005373677,UP_in_Ref,0.00019840832180753224
PFN1,0.004831135931634017,0.35210419315787217,0.3931624979538925,-0.04105830479602035,UP_in_Ref,0.0001983582515920352
ATP5J2,0.0022877196604316934,0.4071703918213882,0.492901885049954,-0.08573149322856582,UP_in_Ref,0.00019612962257715662
SPINK1,0.0005801910922552076,0.7856477759065962,1.1236081490891605,-0.33796037318256433,UP_in_Ref,0.00019608159805576956
SERPING1,0.0018297524423272593,0.3724016089038216,0.4795082934533517,-0.1071066845495301,UP_in_Ref,0.000195978717644078
COX6C,0.001684307404054353,0.1678203862993837,0.28287373402065685,-0.11505334772127315,UP_in_Ref,0.0001937852054281804
GABARAPL1,0.0009265164515503364,1.0191614226897687,1.2276375488033158,-0.20847612611354704,UP_in_Ref,0.00019315656059968402
PPP1R14B,0.0010760049645458674,0.963457668822282,1.135947020154854,-0.17248935133257204,UP_in_Ref,0.00018559939836514385
RPL17,0.0010857116305381122,0.1534313892320896,0.32283533263637076,-0.16940394340428117,UP_in_Ref,0.00018392383161304818
ATP5D,0.0021340930003897226,0.3420472326206445,0.256315722748352,0.0857315098722925,UP_in_AKI,0.00018295901513130182
HLA-B,0.0007402043769142549,1.1481885789467232,1.3938217035300366,-0.24563312458331343,UP_in_Ref,0.00018181871393169305
SLPI,0.00200272883234214,0.21006891938574357,0.29960651549947165,-0.08953759611372808,UP_in_Ref,0.0001793195253155688
SRGN,0.0011143944653465583,0.629742826887341,0.7898030118231594,-0.16006018493581842,UP_in_Ref,0.0001783701842148226
