gene,importance
NR4A1,0.01123820819545991
RPS4Y1,0.011127075366597279
PDK4,0.008050603022064418
SNHG29,0.007661011589035218
MT-ND1,0.007357221688163038
XIST,0.007242051273996076
MT-CYB,0.0071958342507574494
KLF9,0.0070568431286772825
RPL17,0.007033493914719344
RNASEK,0.006625729520624352
CEBPD,0.006083963326988401
MT-ND3,0.005954556437079377
DUSP1,0.005922995503446723
NME2,0.005570896788295643
EEF1G,0.005511213951125657
MT-ND4L,0.005408988217313276
SPP1,0.005359195669686595
MT-ND2,0.005165296575084638
WFDC2,0.005129794621235667
CYBA,0.00509417783522495
MICOS10,0.005015551769798189
TSC22D3,0.004981894432292265
SGK1,0.004689766064832646
EGR1,0.004387363031680134
GNB2L1,0.004282327442917079
ZFP36,0.004098797902795796
ATP6V0C,0.0040917307401972655
MTRNR2L12,0.003982656385518866
GABARAP,0.003731272702922035
ADIRF,0.003547597541695379
FXYD2,0.0033766056323700487
ATP5E,0.003320735953329663
SERTAD1,0.003223784845321689
BTG2,0.0031341829209004034
NFKBIA,0.003113466864884644
JUND,0.0030723989844001374
RACK1,0.0029278981299129076
MT2A,0.0028587026792231203
ATF3,0.0028157638875877826
RPS10,0.0027842834763740654
PFN1,0.0027382215695590565
MT-ND5,0.002730977886023808
RPL28,0.002716344495832956
KLF6,0.0027071757946662074
ZFAND5,0.0026690023609930637
MT-ND4,0.002639969601399423
GADD45A,0.0026301827173021227
MIF,0.002621976262281229
S100A11,0.0025971964308941025
TMSB10,0.0025329009649303963
RPS26,0.002515216997582288
ATP5F1E,0.002441315984250878
ATP5G2,0.0024344385845663065
ATP5L,0.0023681480036429297
MT-ATP6,0.0023549538153906937
RPL36A,0.0023089089061567648
TSPAN1,0.002136811691596389
ITM2B,0.0020885091667539753
MT-CO3,0.00207491047839546
TPT1,0.002074195051807172
RPS19,0.0020719498113418067
HLA-DRB5,0.0020326026382014224
LTF,0.0019775174062101743
GSTP1,0.0019458802109741128
MT1M,0.0019257916973706524
RPL37A,0.001925628515162186
EIF1,0.0019140063637642431
FOS,0.0018567422785878737
ATP6V1B1,0.0018486973448952663
HIST1H4C,0.0018250715214508096
ATP5D,0.00179647749556179
PIGR,0.0017519470745329705
MT-ATP8,0.0017502950100761125
RPS29,0.0017048987355760303
COX7A1,0.001678107064589161
MALAT1,0.0016711398459612243
HNRNPH1,0.0016629721464817577
CLU,0.001620038786322078
CD74,0.0016123726097281702
ALDOA,0.0016069371951995762
LCN2,0.0016061780108161908
MINOS1,0.0015332249148195302
TCEB2,0.001529972506257746
NDUFA13,0.001527126931526262
GPX1,0.0015198475696872713
TMSB4X,0.001515068406055507
CEBPB,0.0015031769384033684
ATP5I,0.0014879246758959627
DEFB1,0.001487825140732614
DHRS3,0.0014829072770653263
MT-CO2,0.0014547159584591847
MT-CO1,0.0014436519665646317
B2M,0.0014351423095086855
ARG2,0.0014136555830463382
C19orf43,0.0013587805927038998
ATP5MG,0.0013453413582955693
HERPUD1,0.0013397541610134318
MCL1,0.0013368463876255337
SH3BGRL3,0.0013362113577011126
ITGB6,0.0013357793502863867
MMP7,0.0013341021302667082
TMEM66,0.0013310783098063818
IGFBP7,0.001311289719369964
IGFBP5,0.0013011352547303524
UQCR11.1,0.0012954463612279974
ATP5J,0.0012511514669132637
ATP5J2,0.0012312323130830275
GSTA2,0.0012296816177412746
RPS27,0.0012104346643548047
TIMP3,0.001207740341219723
ATP1B1,0.0012056829366639938
CSRP1,0.001198571729298316
TXNIP,0.001183965272477108
RPL18A,0.0011740250271719385
CYSTM1,0.001173220450915572
SERF2,0.0011709081403673313
ACTB,0.0011616295682266033
MT1E,0.0011601962446237733
ATPIF1,0.001150955395875529
RPL13,0.0011465081832543109
JUN,0.0011392574011758899
RASD1,0.001136287335025072
JUNB,0.001136021255791706
RHOB,0.0011314796371444523
SEPP1,0.0011301597936740305
GSTA1,0.0011265313389305681
COX7C,0.001110402778498836
ATP5MC3,0.001109785504135067
GADD45B,0.001105567360857371
CXCR4,0.001099587784957057
EPAS1,0.0010917217285306906
MT1G,0.001079302213343483
ATP5G3,0.0010707916734572294
ATP5ME,0.0010698765168788897
GLTSCR2,0.0010655507846506751
ATP5B,0.001064106066753761
FOSB,0.0010545826157102817
ACTG1,0.0010526614854868901
SERPING1,0.0010334683138628587
C19orf70,0.0010243236202567368
RARRES3,0.001023881270615915
PPDPF,0.001017065940479083
COX8A,0.0010111113021307725
RPS2,0.001009602777159363
RPS4X,0.00100105491755987
COX6C,0.0009828557296878006
RPS18,0.000982584444246776
SHFM1,0.0009775054586506752
MGP,0.0009755066488790726
FTH1,0.0009656445364918407
RPS21,0.0009604819224646101
IER3,0.0009602910188628651
USMG5,0.0009523830465159944
PAX8,0.0009523778039092121
DDIT4,0.0009511000911754553
GAPDH,0.0009464375239768671
FTL,0.0009431110554357109
CRIP1,0.0009421524360036149
C18orf32,0.0009412063173222458
RPL5,0.0009370554325098475
MT1X,0.0009240314525430091
SPINT2,0.0009077177492238514
UMOD,0.0009073925872320419
IFITM3,0.0009051661653681703
IDI1,0.0008991517928475697
CD9,0.0008982331502175675
PPP1R15A,0.0008952731161523009
RPS28,0.0008920145607526513
MIOX,0.0008858578276132516
CD24,0.0008819604003180202
UBC,0.0008804419993547467
C8orf59,0.0008788948518045988
FKBP2,0.0008783199292607905
RPL39,0.0008737199821806309
SEPW1,0.0008689333742408978
NDUFA7,0.0008645458845544893
FAM96B,0.0008612212137683793
RHCG,0.0008595072851360704
MAL,0.0008570727271579951
HSPA1A,0.0008565757624467024
RPL37,0.0008564677521718172
PCSK1N,0.0008516353333617625
RPL38,0.0008507990902587133
ATP5F1D,0.0008460913243648396
EEF1A1,0.0008371879227642672
CTSD,0.0008269855913084469
HLA-B,0.0008251408956902389
SOD2,0.0008219297432071134
ITM2C,0.0008215224493544321
NACA,0.000815045167936059
IL32,0.0008110872919418834
DCXR,0.0008105198905787693
TACSTD2,0.0008103491939546629
BTG1,0.0008078082551368506
SF3B14,0.0008038852384390707
ATP5MC2,0.0007905836427306587
APOE,0.0007877163348667265
TIMP1,0.0007875082387159821
MUC1,0.0007846623359788706
AKR1C1,0.0007832291181361916
S100A6,0.0007797045015058628
NDUFB8.1,0.0007733043938412437
RPLP1,0.0007698261512907018
CAMK2N1,0.0007629137194372042
FABP1,0.000754499735698505
AES,0.0007506383622397844
EPCAM,0.0007491906409274326
RPL30,0.0007475757670623701
CDC42,0.0007466827182074778
CLCNKB,0.000734145634823526
RPL3,0.0007316555211820491
APP,0.0007253793861721387
CYCS,0.0007249975634602493
SRGN,0.0007229909781701388
SLPI,0.0007200442688866517
MYEOV2,0.0007195621102132611
RPLP0,0.0007131962442980023
HLA-DRA,0.000712948068943208
RPS12,0.0007117574163671885
GABARAPL1,0.0007100308890524568
HIF1A,0.0007089090624515216
RPL8,0.0007082911920248407
RPS3A,0.0007065436937610324
RPL41,0.0007044215563679209
PKM,0.0007009932811552738
MYL6,0.0006946855837735292
PCK1,0.0006946064056653551
RPL15,0.0006859371239090898
EIF4A1,0.0006844354993856542
TMEM176B,0.0006832970803860743
RPS9,0.0006806762606845997
C14orf2,0.0006800854909253307
SLC12A1,0.0006795540600427527
RPS8,0.0006795208145734718
CYB5A,0.0006786850253202641
ATP5H,0.0006786164570824884
RPL34,0.0006782405037327366
RPL27A,0.0006757450983164266
TMBIM4.1,0.0006753642130957222
RPL9,0.0006750815409502192
COX5B,0.0006739801090441977
IGFBP4,0.0006689555472771325
MT1H,0.0006685193926031987
NDUFA4,0.0006670708748752329
NGFRAP1,0.0006665068194349618
SELM,0.000664227725394336
JPT1,0.0006639751604926101
IER2,0.0006625509980650271
HSD11B2,0.0006622643950040811
RPL19,0.0006609137194415457
RPS15,0.000660680827236586
PPIB,0.0006599940519234909
ATP5PD,0.00065895664408738
HLA-DRB1,0.0006571191666867091
RPS23,0.0006569493501038812
SEC14L1,0.0006550420524363906
IFI27,0.0006523422485829788
RPS3,0.0006518615386869965
RPL7A,0.0006509084935854346
LAPTM4A,0.0006505976231206874
PEBP1,0.0006486568856784574
KRTCAP2,0.0006477576829955039
RPL26,0.0006475308733973113
GAS6,0.0006458785739457699
PTPRB,0.0006433442634600255
C4orf48,0.0006433142110964249
COX7B,0.0006414745145832284
RPS17,0.0006409404756994133
PVALB,0.0006372587399605996
HSP90AA1,0.0006347576417363461
SOX4,0.0006284538596028639
UGT2B7,0.000628151168958847
CST3,0.0006264668895574393
CALM1,0.0006256282704902666
ATP5MD,0.0006232319589409515
RPL22,0.0006207644858037053
S100A1,0.0006200645631186171
RPS7,0.0006177827303594537
RPS14,0.0006161552067761409
UQCR11,0.000614652662947053
RPL10,0.0006141227999190389
RPL35A,0.0006102631159627642
GSTT1,0.0006100712192231033
NDUFA1,0.0006088413719429447
H3F3B,0.0006088387850388147
COX6A1,0.0006064458753460943
RPL6,0.0006060771702830974
RPL23A,0.0006053342593420952
ELOB,0.0006000765739749063
RPL32,0.0005996328807992313
DUSP23,0.0005991000852302986
ATP5O,0.0005985459399599107
PROM1,0.0005938682649371154
ATP5PF,0.0005935630891253198
RPS27A,0.0005931301416370523
CFL1,0.0005928910996847289
SAT1,0.0005912018842776583
ATP6V0D2,0.0005890565485220384
ADI1,0.0005882479433157326
EMCN,0.0005816302570186457
RPS25,0.0005808238592844478
NDUFB1,0.0005769444685757735
RGCC,0.0005767850907860836
DBI,0.0005744383644111533
NDUFA3,0.0005744077869460383
HLA-A,0.0005696412782777889
HSP90AB1,0.0005643728161403382
TACC1,0.0005643690852959233
ETS2,0.0005636388165765243
RPL29,0.0005620193121371886
ZFP36L2,0.0005619089092638172
ALDOB,0.000560048178680592
RPS13,0.0005594695614516746
