gene,importance,mean_positive,mean_negative,diff_expression,direction,combined_score
C19orf70,0.0015085811728674655,0.39207013617757663,0.4806928585483234,-0.08862272237074675,UP_in_Ref,0.0001336945704567689
TXN,0.00047451530052618516,1.411637628433806,1.6842110907243177,-0.2725734622905118,UP_in_Ref,0.00012934027837424502
HPD,0.0004787439023343396,0.3512640794852126,0.6213701446073667,-0.2701060651221541,UP_in_Ref,0.00012931163166075333
RPL37A,0.0012750938980027578,0.29076244223102166,0.19028243208195816,0.10048001014906349,UP_in_CKD,0.00012812144781232604
UCP2,0.0002368049353906887,0.39744318366710973,0.9210764268590163,-0.5236332431919065,UP_in_Ref,0.0001239989363224762
SEPT7,0.0007833126944351122,0.8818253180380082,0.7241323767575643,0.15769294128044398,UP_in_CKD,0.00012352288272778249
KLF9,0.011879977881431978,0.27914695108506504,0.2894194402785211,-0.01027248919345608,UP_in_Ref,0.00012203694440550724
ANXA2,0.0007294517389267015,0.8017832825415653,0.9683494207118231,-0.16656613817025778,UP_in_Ref,0.00012150195913459977
COX7B,0.0008026957351174,0.33806333721010096,0.1872611654440144,0.15080217176608657,UP_in_CKD,0.00012104826012307928
EIF1,0.00463460909894481,0.8631776777663104,0.8372377098636761,0.02593996790263431,UP_in_CKD,0.0001202216112678853
HSPE1,0.0007390381390612007,0.4586259368335215,0.6212883342038468,-0.16266239737032528,UP_in_Ref,0.00012021371544779875
RPL19,0.0005688042938835092,0.2026739340869387,0.4129832197045876,-0.21030928561764892,UP_in_Ref,0.00011962482470289206
DDIT4,0.00276143125209726,0.24133601939427307,0.28419332050114265,-0.04285730110686958,UP_in_Ref,0.00011834749065705216
NDUFA3,0.0006939914020628447,1.018581875558152,1.188770924692152,-0.17018904913400013,UP_in_Ref,0.00011810973682424711
MMP7,0.0017766261736448313,0.5593107907214484,0.492901885049954,0.06640890567149438,UP_in_CKD,0.0001179837999790876
EMX2,0.0014539389574176732,0.6839924235844856,0.7640935905172762,-0.08010116693279057,UP_in_Ref,0.00011646220713820052
RPL28,0.0005214825859119566,0.9996859260127102,0.7768180396157733,0.2228678863969369,UP_in_CKD,0.00011622172171500683
IGFBP5,0.0009032260182874345,0.2972533021484318,0.4250751997718019,-0.1278218976233701,UP_in_Ref,0.00011545206364030066
MINOS1,0.0033121708152280445,0.2671731673062404,0.2327303429559641,0.03444282435027632,UP_in_CKD,0.00011408051760701105
SUMO1,0.00027476552413549456,1.421742087318126,1.0128269676947206,0.4089151196234053,UP_in_CKD,0.00011235577717025342
GADD45B,0.001780516365337482,0.24550264068142388,0.3078727577664877,-0.06237011708506382,UP_in_Ref,0.00011105101417797102
MT2A,0.004347885716999207,0.16911529880989648,0.19429334277187835,-0.025178043961981866,UP_in_Ref,0.00010947125772427907
SERINC2,0.00020926787752224144,1.1336493275739523,1.654835320012301,-0.5211859924383486,UP_in_Ref,0.00010906748643189619
ATP5L,0.0006276583389785742,1.2221656938972987,1.3938217035300366,-0.17165600963273797,UP_in_Ref,0.00010774132588177444
ATP5MC3,0.0016512537985507783,0.5432022673533783,0.6075809106109916,-0.06437864325761333,UP_in_Ref,0.00010630547922467946
TIMP3,0.0009667904739381352,0.8320034437912417,0.7227323799975074,0.1092710637937343,UP_in_CKD,0.00010564222355286859
ESD,0.00023881297470760974,0.4953249654074917,0.053519112737231145,0.44180585267026057,UP_in_CKD,0.0001055089699194169
RPL10,0.0005008018333986306,0.6657460993994185,0.4563224750884005,0.20942362431101802,UP_in_CKD,0.00010487973501194386
EPAS1,0.0007491267106371764,1.0893833434878917,1.2276375488033158,-0.1382542053154241,UP_in_Ref,0.00010356991805970048
BTG2,0.003981729691853886,0.32321959957715,0.3490856914451376,-0.025866091867987606,UP_in_Ref,0.00010299178600298659
TSPAN12,0.00013931910347839943,1.5599969467473784,2.2984615839814904,-0.7384646372341119,UP_in_Ref,0.00010288223120995794
NAA38,0.00020657443664363957,2.409847481008149,1.918776706967653,0.49107077404049604,UP_in_CKD,0.00010144266849957149
ITM2B,0.004267451464221757,0.3070228337121997,0.2832528989513514,0.023769934760848266,UP_in_CKD,0.00010143704289963756
NDUFB1,0.0009127188667622911,0.31846315925798946,0.20745756581093472,0.11100559344705474,UP_in_CKD,0.00010131689945527142
ACTB,0.0007592987419531828,0.3454429445427803,0.47807770420870405,-0.13263475966592375,UP_in_Ref,0.00010070940615359866
CNBP,0.000290861376880156,0.3128428853201006,0.6586397589115599,-0.3457968735914593,UP_in_Ref,0.0001005789547736651
FAM107B,0.00017340691233560948,0.5834977552856255,1.1595395202575414,-0.5760417649719158,UP_in_Ref,9.988962384013477e-05
PKM,0.0005148522468627539,0.4589561834563769,0.26572003730653887,0.19323614614983803,UP_in_CKD,9.94880640203436e-05
DNAJB1,0.001471753917735287,0.37503686622293586,0.3075852953339044,0.06745157088903148,UP_in_CKD,9.927211371333151e-05
H3F3B,0.0005909124588155809,0.47618479453066137,0.30840447714519614,0.16778031738546523,UP_in_CKD,9.91434798871038e-05
PRDX6,0.0002361340166869042,2.5356409620682396,2.9528109967265253,-0.4171700346582856,UP_in_Ref,9.850803592527602e-05
SPINT2,0.0029037298007467396,0.3470234719285818,0.3134768572432758,0.03354661468530601,UP_in_CKD,9.741030477589127e-05
RPS29,0.000658663394143189,1.0122491744389561,1.160029984395914,-0.14778080995695797,UP_in_Ref,9.733780987547951e-05
CDK2AP2,0.0002849257038989798,1.6535959122100217,1.3137803543479523,0.3398155578620694,UP_in_CKD,9.682218701967462e-05
LST1,0.00012985456755206908,0.12387344766100122,0.8691932113186155,-0.7453197636576143,UP_in_Ref,9.678317559776984e-05
WFDC2,0.009823212473274888,0.36276802429083244,0.37254169738529674,-0.009773673094464308,UP_in_Ref,9.600886745125297e-05
TNFRSF12A,0.0006275127903689669,0.22288365187298992,0.37561758755737357,-0.15273393568438365,UP_in_Ref,9.584249816534191e-05
FXYD2,0.0017711541340594984,0.3570728820398826,0.30384354025389576,0.05322934178598682,UP_in_CKD,9.427736875751655e-05
ATP5ME,0.0017722274722769401,0.2792116849338951,0.33197100883768643,-0.052759323903791344,UP_in_Ref,9.350152324105648e-05
RHOB,0.0013359531936158915,0.21294874154384058,0.28287373402065685,-0.06992499247681627,UP_in_Ref,9.341651701296989e-05
CLDN4,0.000948317298803846,0.6258030491709634,0.5278822432371165,0.09792080593384689,UP_in_CKD,9.28599941798813e-05
HSPA8,0.000544292240871141,1.5689475346960118,1.7382091761011784,-0.16926164140516664,UP_in_Ref,9.212779809394565e-05
MALAT1,0.0009229690808406877,0.38405193716199615,0.4834424643625952,-0.09939052720059904,UP_in_Ref,9.173438353460827e-05
ITGB8,0.00128443451260182,0.45890263740232057,0.5301856557091639,-0.0712830183068433,UP_in_Ref,9.155836887573689e-05
TAF10,0.00020540854176691643,0.48643623513223166,0.9321390924544877,-0.445702857322256,UP_in_Ref,9.155117398391262e-05
