,precision,recall,f1-score,support
AKI,0.8591961023142509,0.8813093453273363,0.8701122486739854,4002.0
CKD,0.8266607023037352,0.8785357737104825,0.8518091726204194,4207.0
Ref,0.98046875,0.6634361233480176,0.791382028376248,1135.0
accuracy,0.853595890410959,0.853595890410959,0.853595890410959,0.853595890410959
macro avg,0.888775184872662,0.8077604141286122,0.8377678165568843,9344.0
weighted avg,0.8592782970144955,0.853595890410959,0.8523083273345929,9344.0
