gene,mean_expr_CKD,mean_expr_reference,diff_mean_expr,pct_expr_CKD,pct_expr_reference,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
A2M,0.30654663646288766,,,0.1335805286176079,,,,,0.0005389882252747,,UP_in_reference
AAK1,0.33676958791604267,,,0.2832762882677315,,,,,0.0001575343767342,,UP_in_reference
AAMDC,0.36679158411440965,,,0.32225708309564555,,,,,0.0001339908960691,,UP_in_reference
AAMP,0.27914695108506504,,,0.25280471572542307,,,,,0.0001075455043051,,UP_in_reference
ABCB1,0.2750772765736152,,,0.20702605057995815,,,,,0.0001035406552019,,UP_in_reference
ABCD3,0.27846918735341647,,,0.24876402357862712,,,,,0.0001191829225326,,UP_in_reference
ABHD14A,0.27674256419801135,,,0.2516162768587184,,,,,0.000102668693473,,UP_in_reference
ABHD14B,0.36276802429083244,,,0.3088514926792166,,,,,0.0001032275543878,,UP_in_reference
ABHD17A,0.3176327962826668,,,0.2655923179311656,,,,,0.0001744734291441,,UP_in_reference
ABLIM1,0.346747310157738,,,0.280614185206313,,,,,0.0001460991294279,,UP_in_reference
ABRACL,0.3489685346481409,,,0.2696330100779616,,,,,0.0002838353101493,,UP_in_reference
ACAA1,0.4636230485850105,,,0.35054192812321733,,,,,0.0002051393972397,,UP_in_reference
ACAA2,0.49807621594432616,,,0.38058566267351207,,,,,0.0001530719322794,,UP_in_reference
ACADM,0.5199434133467058,,,0.39750903213538696,,,,,0.0002199673794735,,UP_in_reference
ACADVL,0.8828386901008116,,,0.5764879254611143,,,,,0.0003988568482754,,UP_in_reference
ACAP2,0.24916617228104726,,,0.21101920517208594,,,,,0.0001155791105271,,UP_in_reference
ACAT1,0.6427701159067397,,,0.4369176649553147,,,,,0.0002535010791203,,UP_in_reference
ACO1,0.20469734215718718,,,0.17493820117893136,,,,,0.0001067756406928,,UP_in_reference
ACO2,0.378455901259742,,,0.31717056474614946,,,,,0.0002289010030055,,UP_in_reference
ACOT13,0.24256348560171576,,,0.2092127780946948,,,,,0.0001010638476799,,UP_in_reference
ACP1,0.4438682617779091,,,0.37012740064651073,,,,,0.0001431038435707,,UP_in_reference
ACSL1,0.27384469873503936,,,0.23255371743677505,,,,,0.0002357054566136,,UP_in_reference
ACSL3,0.29362612941954364,,,0.2539931545921278,,,,,0.0001297601357623,,UP_in_reference
ACSL4,0.42584994852781255,,,0.28741205552386384,,,,,0.000160982445233,,UP_in_reference
ACSM2A,0.24401468283862796,,,0.14684350637003232,,,,,0.0001015663313327,,UP_in_reference
ACSM2B,0.20403347003327985,,,0.12906446092413007,,,,,9.580497887512118e-05,,UP_in_reference
ACTA2,0.09637823373135132,,,0.05376497432972048,,,,,0.0001279132388834,,UP_in_reference
ACTB,2.6805251290644714,,,0.9482316029663435,,,,,0.0011616295682266,,UP_in_reference
ACTG1,2.2570466790543757,,,0.9048298155542879,,,,,0.0010526614854868,,UP_in_reference
ACTN4,0.8631776777663104,,,0.5656493629967675,,,,,0.0002497586670598,,UP_in_reference
ACTR10,0.39318851645342956,,,0.33913291500285225,,,,,0.0001270629313069,,UP_in_reference
ACTR2,0.5876794399139295,,,0.44205172085947897,,,,,0.0002601500003526,,UP_in_reference
ACTR3,0.4928860266982356,,,0.3867180072257083,,,,,0.000260147839321,,UP_in_reference
ADAM10,0.3306011156897732,,,0.2738638524434303,,,,,0.0001618463554084,,UP_in_reference
ADAMTS1,0.16911529880989648,,,0.12549914432401596,,,,,0.0002134765407833,,UP_in_reference
ADAR,0.3070228337121997,,,0.26711351968054764,,,,,0.0001415263284849,,UP_in_reference
ADD1,0.32321959957715,,,0.2742441528807758,,,,,0.0001122943064643,,UP_in_reference
ADD3,0.4193558492262188,,,0.33951321544019775,,,,,0.0001401812031712,,UP_in_reference
ADGRF5,0.197169562721792,,,0.10491538315269062,,,,,0.0002750511192838,,UP_in_reference
ADGRG1,0.37278651530699924,,,0.2785225328009127,,,,,0.0004689601131874,,UP_in_reference
ADH5,0.5354511307968226,,,0.41951891994675794,,,,,0.0001698438057211,,UP_in_reference
ADI1,0.8158093735524845,,,0.5192051720859479,,,,,0.0005882479433157,,UP_in_reference
ADIRF,1.0427258492853706,,,0.4506084806997528,,,,,0.0035475975416953,,UP_in_reference
ADNP,0.2671731673062404,,,0.2398269633010078,,,,,0.0001137485062202,,UP_in_reference
ADRM1,0.36752397949449,,,0.317313177410154,,,,,0.0001199564548446,,UP_in_reference
ADSS,0.26865567781695937,,,0.2444856436584902,,,,,0.000116620356958,,UP_in_reference
AES,0.706339663036959,,,0.45032325537174367,,,,,0.0007506383622397,,UP_in_reference
AFF1,0.3470234719285818,,,0.2846073397984408,,,,,9.995639354028213e-05,,UP_in_reference
AFF4,0.24133601939427307,,,0.2171515497242822,,,,,0.000112751322825,,UP_in_reference
AFG3L2,0.2688460946055604,,,0.24320212968244914,,,,,9.85346596286992e-05,,UP_in_reference
AGPAT2,0.4005851672309432,,,0.3277239018824872,,,,,0.0001674936367565,,UP_in_reference
AGR2,0.13538346192198444,,,0.09621601064841225,,,,,0.0001333361996087,,UP_in_reference
AGRN,0.4734842604421558,,,0.3588610001901502,,,,,0.000260406666505,,UP_in_reference
AGTRAP,0.3159753558005435,,,0.27500475375546685,,,,,0.0001059781421354,,UP_in_reference
AHCYL1,0.42044890754830344,,,0.34745198706978514,,,,,0.0001332495242141,,UP_in_reference
AHNAK,0.7867274477723679,,,0.5128351397604107,,,,,0.0002548526374528,,UP_in_reference
AHSA1,0.2592751389139148,,,0.23977942574633962,,,,,0.0001146263689401,,UP_in_reference
AIF1,0.22292348215332147,,,0.08837231412816125,,,,,0.0001480660641084,,UP_in_reference
AIF1L,0.8016282303525679,,,0.48849591177029855,,,,,0.0002352047646301,,UP_in_reference
AIFM1,0.23530568904785934,,,0.2116371933827724,,,,,0.0001108344806154,,UP_in_reference
AIG1,0.4231801015867959,,,0.3530138809659631,,,,,0.0001386337063614,,UP_in_reference
AIMP1,0.40190344774470005,,,0.34607339798440767,,,,,0.0001498390836508,,UP_in_reference
AIP,0.3425583102412217,,,0.295540977372124,,,,,0.000133120177085,,UP_in_reference
AK2,0.4408395335887779,,,0.36370983076630536,,,,,0.0001401929165188,,UP_in_reference
AK3,0.36696073180868083,,,0.3114660581859669,,,,,0.0001427396040973,,UP_in_reference
AK4,0.22797647678226032,,,0.15050389807948278,,,,,0.0001735033026284,,UP_in_reference
AKAP12,0.22566796202430806,,,0.1583475945997338,,,,,0.0001856235100389,,UP_in_reference
AKAP13,0.24550264068142388,,,0.20474424795588514,,,,,0.00016062718353,,UP_in_reference
AKAP9,0.5593107907214484,,,0.4142422513785891,,,,,0.000242170605914,,UP_in_reference
AKIRIN1,0.2792116849338951,,,0.24710020916524053,,,,,0.0001376685962845,,UP_in_reference
AKR1A1,0.5866804202512124,,,0.3950370792926412,,,,,0.0002160586724664,,UP_in_reference
AKR1B1,0.3570728820398826,,,0.2833238258223997,,,,,0.0001591825144794,,UP_in_reference
AKR1C1,0.3189709616583637,,,0.20902262787602205,,,,,0.0007832291181361,,UP_in_reference
AKR1C3,0.3355129965707407,,,0.23897128731698042,,,,,0.000179724444781,,UP_in_reference
AKR7A2,0.5142624279065878,,,0.39722380680737784,,,,,0.0001491085435583,,UP_in_reference
AKR7A3,0.16043076297242223,,,0.10833808708880015,,,,,0.0001317219508103,,UP_in_reference
ALB,0.1244232562913698,,,0.06108575774862141,,,,,0.0003803202260937,,UP_in_reference
ALDH1A1,0.6781333263062854,,,0.46196995626544973,,,,,0.0001843481232374,,UP_in_reference
ALDH2,0.5432022673533783,,,0.395750142612664,,,,,0.0002223185870539,,UP_in_reference
ALDH3A2,0.2780779014858813,,,0.2386860619889713,,,,,0.0001189213969721,,UP_in_reference
ALDH6A1,0.4135150420484543,,,0.2930690245293782,,,,,0.0003423668368561,,UP_in_reference
ALDH9A1,0.3275777825602645,,,0.28436965202509984,,,,,0.0001170465312783,,UP_in_reference
ALDOA,0.6888058505988918,,,0.36936679977181974,,,,,0.0016069371951995,,UP_in_reference
ALDOB,0.3746557718153016,,,0.1281137098307663,,,,,0.0005600481786805,,UP_in_reference
ALG5,0.34017171538766955,,,0.3061418520631299,,,,,0.0001096449308744,,UP_in_reference
ALKBH7,0.8157660563997525,,,0.5550009507510933,,,,,0.0002458707193277,,UP_in_reference
ALOX5AP,0.11316408582731165,,,0.06712302719148128,,,,,8.315965970261973e-05,,UP_in_reference
AMD1,0.39207013617757663,,,0.3282943525385054,,,,,0.0001660055942017,,UP_in_reference
AMFR,0.37503686622293586,,,0.30528617607910247,,,,,0.0001884157888367,,UP_in_reference
AMN,0.2781610154377621,,,0.1939532230462065,,,,,0.0001835451602649,,UP_in_reference
ANAPC11,0.6839924235844856,,,0.5018539646320593,,,,,0.0001920111671369,,UP_in_reference
ANAPC13,0.5303392823362202,,,0.41119984787982505,,,,,0.0002054165842692,,UP_in_reference
ANAPC15,0.26283401128838585,,,0.2448659440958357,,,,,8.886668480782304e-05,,UP_in_reference
ANAPC16,0.9731562964693129,,,0.6204601635291881,,,,,0.0003026739835966,,UP_in_reference
ANAPC5,0.27645731853520134,,,0.2496196995626545,,,,,0.0001164940203397,,UP_in_reference
ANK2,0.1813908265155357,,,0.12797109716676175,,,,,0.0001100949609464,,UP_in_reference
ANK3,0.3462066596535072,,,0.28546301578246813,,,,,0.000116669654807,,UP_in_reference
ANKRD10,0.28333990766877587,,,0.24814603536794066,,,,,0.0001439162768078,,UP_in_reference
ANKRD11,0.268393909141599,,,0.23478798250617988,,,,,0.000115429885094,,UP_in_reference
ANKRD12,0.3893047994475589,,,0.31213158395132157,,,,,0.0001793519612896,,UP_in_reference
ANO6,0.21294874154384058,,,0.18254420992584142,,,,,0.0001087725096562,,UP_in_reference
ANP32A,0.426930934602636,,,0.3569119604487545,,,,,0.0001337851581432,,UP_in_reference
ANP32B,0.45890263740232057,,,0.3730747290359384,,,,,0.0002102596912213,,UP_in_reference
ANP32E,0.32360920721532266,,,0.27671610572352157,,,,,0.0001072801114802,,UP_in_reference
ANPEP,0.29076244223102166,,,0.1688058566267351,,,,,0.0001109958148073,,UP_in_reference
ANXA1,0.5525143653066317,,,0.3207358813462636,,,,,0.0003091859596899,,UP_in_reference
ANXA11,0.7737067076556444,,,0.5325632249477087,,,,,0.0002027461239073,,UP_in_reference
ANXA2,1.0325746975376764,,,0.5666001140901312,,,,,0.0004256448724546,,UP_in_reference
ANXA3,0.254047365285032,,,0.21738923749762312,,,,,0.000108721373753,,UP_in_reference
ANXA4,0.8532014243327313,,,0.5329910629397224,,,,,0.0004006848942498,,UP_in_reference
ANXA5,0.9511490208962097,,,0.6090986879634912,,,,,0.0002441736993409,,UP_in_reference
ANXA6,0.18335101311666469,,,0.15644609241300628,,,,,0.00012055979462,,UP_in_reference
ANXA7,0.47839048999042505,,,0.38861950941243584,,,,,0.0001279396755554,,UP_in_reference
AOC1,0.36330843269882424,,,0.25546681878684163,,,,,0.0002357468324213,,UP_in_reference
AP1G1,0.2750278324566365,,,0.24362996767446282,,,,,0.0001098543224341,,UP_in_reference
AP1M2,0.34756405148953495,,,0.29459022627876025,,,,,0.0001034077095438,,UP_in_reference
AP1S1,0.3062456972814352,,,0.27676364327818975,,,,,0.0001156798680231,,UP_in_reference
AP1S2,0.21075889390041133,,,0.14570260505799582,,,,,0.0001216008138499,,UP_in_reference
AP2A2,0.2761329980633742,,,0.2468149838372314,,,,,0.000109600830616,,UP_in_reference
AP2B1,0.4503806113500053,,,0.368178360905115,,,,,0.0001576650766884,,UP_in_reference
AP2M1,0.6806235252480692,,,0.5051815934588325,,,,,0.0001882606730624,,UP_in_reference
AP2S1,0.7299314280667902,,,0.5249096786461305,,,,,0.0002732029623127,,UP_in_reference
AP3S1,0.23915274856877475,,,0.22052671610572352,,,,,0.0001086383293592,,UP_in_reference
APEX1,0.4190641385098284,,,0.3554382962540407,,,,,0.0001406019411385,,UP_in_reference
APH1A,0.3825170268248605,,,0.32786651454649174,,,,,0.0001179551082607,,UP_in_reference
APIP,0.25546413506282944,,,0.23925651264498954,,,,,8.693592661698118e-05,,UP_in_reference
APLP2,1.1936875387770538,,,0.658918045255752,,,,,0.0004926482848446,,UP_in_reference
APMAP,0.24475633574802608,,,0.22537554668187867,,,,,8.550133492122225e-05,,UP_in_reference
APOC1,0.14042730693854602,,,0.08970336565887051,,,,,0.0001116450075486,,UP_in_reference
APOE,0.8368099628556915,,,0.34241300627495724,,,,,0.0007877163348667,,UP_in_reference
APP,1.385417163986731,,,0.674320212968245,,,,,0.0007253793861721,,UP_in_reference
APPL1,0.3010458861150803,,,0.2645464917284655,,,,,0.0001189091874486,,UP_in_reference
APRT,0.9230210951620316,,,0.6044400076060088,,,,,0.0002502401935331,,UP_in_reference
AQP1,0.38417719554270297,,,0.19138619509412436,,,,,0.0001308424395058,,UP_in_reference
AQP2,0.5845634078511776,,,0.18316219813652787,,,,,0.0002618236118531,,UP_in_reference
AQP3,0.5119289109331854,,,0.2398269633010078,,,,,0.000360608673765,,UP_in_reference
ARF1,0.7603198366769633,,,0.5417855105533371,,,,,0.000254436424053,,UP_in_reference
ARF3,0.3230850230531532,,,0.2875071306332002,,,,,0.0001169821138727,,UP_in_reference
ARF4,0.6076491821659658,,,0.4604962920707359,,,,,0.0001869184317307,,UP_in_reference
ARF5,0.5447753537425071,,,0.4247005134055904,,,,,0.0002886787093606,,UP_in_reference
ARF6,0.514371702432223,,,0.40297585092222854,,,,,0.0001656862460907,,UP_in_reference
ARFGEF1,0.2620471151434272,,,0.23535843316219815,,,,,0.0001020572009104,,UP_in_reference
ARG2,0.18125150526934472,,,0.15696900551435633,,,,,0.0014136555830463,,UP_in_reference
ARGLU1,0.8320034437912417,,,0.5499144324015972,,,,,0.0002754016912258,,UP_in_reference
ARHGAP18,0.2600605910650171,,,0.2147746719908728,,,,,0.0001150922705621,,UP_in_reference
ARHGAP24,0.4487820136656698,,,0.3546301578246815,,,,,0.0001550462871931,,UP_in_reference
ARHGAP29,0.6258030491709634,,,0.41547822779996196,,,,,0.0002510417059571,,UP_in_reference
ARHGAP5,0.4374762502109314,,,0.3515877543259175,,,,,0.000146673391106,,UP_in_reference
ARHGDIA,0.5616628679962175,,,0.4345407872219053,,,,,0.0001906310826942,,UP_in_reference
ARHGDIB,0.38405193716199615,,,0.23958927552766685,,,,,0.0002908817691839,,UP_in_reference
ARHGEF12,0.35506682492891134,,,0.3000570450656018,,,,,0.0001390914884781,,UP_in_reference
ARID1B,0.31846315925798946,,,0.2706312987259935,,,,,0.0001520593094451,,UP_in_reference
ARID4B,0.23284215042016995,,,0.20659821258794447,,,,,8.171116561677658e-05,,UP_in_reference
ARID5B,0.2972533021484318,,,0.24201369081574445,,,,,0.000141756591389,,UP_in_reference
ARL1,0.47497585504020406,,,0.3921372884578817,,,,,0.0001389871848201,,UP_in_reference
ARL16,0.3266795573646647,,,0.2939247005134056,,,,,0.0001166562886552,,UP_in_reference
ARL2,0.7013728576583059,,,0.5031850161627686,,,,,0.0002089206320469,,UP_in_reference
ARL2BP,0.2613910827321839,,,0.23873359954363949,,,,,0.0001103030557661,,UP_in_reference
ARL3,0.4385905677185333,,,0.3609526525955505,,,,,0.0001115054434058,,UP_in_reference
ARL4C,0.19272680442255694,,,0.14037839893515877,,,,,0.0001318396299709,,UP_in_reference
ARL4D,0.26341468590591405,,,0.2182924510363187,,,,,0.0001487643708026,,UP_in_reference
ARL5A,0.3022311345906294,,,0.25651264498954174,,,,,0.0001682310581423,,UP_in_reference
ARL6IP1,0.6313282449576266,,,0.4537934968625214,,,,,0.0002364939400379,,UP_in_reference
ARL6IP4,0.9734678451744652,,,0.6350066552576535,,,,,0.0002614184902723,,UP_in_reference
ARL6IP5,0.6310326875651602,,,0.46800722570830955,,,,,0.0002153121966715,,UP_in_reference
ARMCX3,0.29200375484009133,,,0.2609336375736832,,,,,0.0001086608519985,,UP_in_reference
ARPC1B,0.5660604560416708,,,0.38762122076440386,,,,,0.0003835635807923,,UP_in_reference
ARPC2,0.800476475353098,,,0.5443525385054193,,,,,0.0002983046527931,,UP_in_reference
ARPC3,1.2149758074529218,,,0.7009887811370983,,,,,0.0003932754635613,,UP_in_reference
ARPC4,0.48831066542305956,,,0.3848165050389808,,,,,0.0001866222595478,,UP_in_reference
ARPC5,0.5509258828932007,,,0.41980414527476706,,,,,0.0002246840995064,,UP_in_reference
ARPC5L,0.30145501085423737,,,0.2719148127020346,,,,,0.0001356811891681,,UP_in_reference
ARPP19,0.4678743405504641,,,0.38153641376687586,,,,,0.0001631568024622,,UP_in_reference
ARRDC1,0.23658125805696242,,,0.21368130823350448,,,,,0.000100804448245,,UP_in_reference
ARRDC3,0.33806333721010096,,,0.27600304240349877,,,,,0.0002399445271591,,UP_in_reference
ARSD,0.3052300298054086,,,0.27105913671800724,,,,,0.0001525486985593,,UP_in_reference
ASAH1,0.8818253180380082,,,0.5437345502947328,,,,,0.0003407750751194,,UP_in_reference
ASAP2,0.2558547907263836,,,0.22675413576725614,,,,,0.0001018987848047,,UP_in_reference
ASH1L,0.378556929606652,,,0.3084711922418711,,,,,0.0001214972345516,,UP_in_reference
ASL,0.2707897729758807,,,0.24315459212778096,,,,,9.503071951659876e-05,,UP_in_reference
ASNA1,0.2880573529503471,,,0.24382011789313557,,,,,0.0001600837703718,,UP_in_reference
ASPH,0.2881386240201628,,,0.25779615896558283,,,,,0.0001164506916379,,UP_in_reference
ASS1,0.33164327262157833,,,0.20607529948659442,,,,,0.000329115782769,,UP_in_reference
ATF3,0.128304721914285,,,0.10220574253660392,,,,,0.0028157638875877,,UP_in_reference
ATF4,0.3454429445427803,,,0.29249857387336,,,,,0.0001826805283997,,UP_in_reference
ATF6,0.2587874518304224,,,0.2338847689674843,,,,,9.440269679495649e-05,,UP_in_reference
ATM,0.23172380967538617,,,0.1952367370222476,,,,,0.0001176258232726,,UP_in_reference
ATN1,0.25217835868890653,,,0.22437725803384673,,,,,8.352602008365051e-05,,UP_in_reference
ATOX1,1.0893833434878917,,,0.6391899600684541,,,,,0.0002922563164956,,UP_in_reference
ATP13A3,0.24495726632512482,,,0.20583761171325346,,,,,0.0001223333829725,,UP_in_reference
ATP1A1,1.3072033430556191,,,0.6392850351777905,,,,,0.0004393217321829,,UP_in_reference
ATP1B1,2.018910481551282,,,0.7147746719908727,,,,,0.0012056829366639,,UP_in_reference
ATP1B3,0.4586259368335215,,,0.3482601254991443,,,,,0.0003329724504397,,UP_in_reference
ATP2A2,0.24619647921251503,,,0.22195284274576915,,,,,0.0001073376903289,,UP_in_reference
ATP2B1,0.2672424733713762,,,0.22832287507130633,,,,,0.0001160656541514,,UP_in_reference
ATP2C1,0.2908836488805998,,,0.25945997337896937,,,,,0.0001085790970623,,UP_in_reference
ATP5F1A,0.5816437618817464,,,0.3922323635672181,,,,,0.000256650040394,,UP_in_reference
ATP5F1B,0.8017832825415653,,,0.460781517398745,,,,,0.0005472443082362,,UP_in_reference
ATP5F1C,0.6822940286484063,,,0.42712492869366797,,,,,0.0002774661775991,,UP_in_reference
ATP5F1D,1.0606656613820433,,,0.5286176079102491,,,,,0.0008460913243648,,UP_in_reference
ATP5F1E,1.6825495517702036,,,0.6162768587183876,,,,,0.0024413159842508,,UP_in_reference
ATP5IF1,1.0374681975171962,,,0.5115516257843696,,,,,0.000471486621029,,UP_in_reference
ATP5MC1,0.7454810885476135,,,0.43938961779806046,,,,,0.0005445272232651,,UP_in_reference
ATP5MC2,1.152298148648326,,,0.5506274957216201,,,,,0.0007905836427306,,UP_in_reference
ATP5MC3,1.018581875558152,,,0.5071781707548964,,,,,0.001109785504135,,UP_in_reference
ATP5MD,1.0426872240073801,,,0.5163529188058567,,,,,0.0006232319589409,,UP_in_reference
ATP5ME,1.0766647413959358,,,0.5347024149077771,,,,,0.0010698765168788,,UP_in_reference
ATP5MF,0.8808954146922063,,,0.4882582239969576,,,,,0.0005343426770994,,UP_in_reference
ATP5MG,1.211444364457783,,,0.55718767826583,,,,,0.0013453413582955,,UP_in_reference
ATP5MPL,0.8623606105026893,,,0.48260125499144324,,,,,0.000389817461629,,UP_in_reference
ATP5PB,0.3136304066025103,,,0.2632629777524244,,,,,0.0001601566179655,,UP_in_reference
ATP5PD,0.6521841673615993,,,0.4140045636052481,,,,,0.0006589566440873,,UP_in_reference
ATP5PF,1.0122491744389561,,,0.5099353489256513,,,,,0.0005935630891253,,UP_in_reference
ATP6AP1,0.49274459202678655,,,0.38966533561513594,,,,,0.0001605355537427,,UP_in_reference
ATP6AP2,0.8957016093595374,,,0.5511028712683019,,,,,0.0003518270662792,,UP_in_reference
