gene,importance,group,scores,logfoldchange,pvals,adj_p_value,pct_nz_group,pct_nz_reference,combined_score
SEPTIN7,0.004803913225775261,CKD,23.348547,2.9375944,1.425818912079836e-120,3.588554658462815e-118,0.145750142612664,0.02020713284535119,1.6573789450163694
LTF,0.005613155877273636,AKI,22.983143,2.3822954,6.872882125237976e-117,1.0273388829537193e-114,0.17330468242466643,0.05193006102811786,1.5242736211949237
TIMP3,0.003975031841609535,Ref,31.662367,1.6917744,5.124678652718404e-220,4.31161177961711e-217,0.48863035430988894,0.24228323629010645,1.4550261043777728
HLA-DRB5,0.004497692622429059,CKD,-23.966969,-2.535062,6.149287173292853e-127,1.6923183120743424e-124,0.053337136337706786,0.17808752530758448,1.4112341824528318
PIGR,0.006250367974241225,Ref,-24.556843,-1.6234955,3.655090147258994e-133,1.4948811050879944e-130,0.3074211175744756,0.4400321582576071,1.3173959122425043
ATP5G3,0.007709946084983364,CKD,24.498318,1.2645559,1.5394212417459567e-132,4.4011007092906006e-130,0.2622646891043925,0.13311789440897057,1.2611810438478184
HSD11B2,0.004036909134521858,AKI,-32.999916,-1.3139781,8.14486952767061e-239,3.7379219291925563e-236,0.20163909849582728,0.3724961623422816,1.2488033174525472
ADIRF,0.008981450357104457,CKD,26.733307,0.8765958,1.9307885587248696e-157,7.58079075850283e-155,0.4506084806997528,0.32187353994704876,1.2134046689727565
IGFBP5,0.0035731466913901367,Ref,27.49023,2.0274153,2.2974964392725154e-166,1.3807015846379135e-163,0.38022210470650447,0.1645187224401296,1.1797981875395191
GPX1,0.008132779571452529,CKD,23.18083,1.2179039,7.107939554996274e-119,1.7442291339664608e-116,0.2500950751093364,0.12797850802055755,1.1465803848777913
LCN2,0.004750747509489349,AKI,21.632572,2.3741632,8.869551143715779e-104,1.036435208448407e-101,0.16650842036879715,0.052678872290239244,1.1390087164775957
HSPA1A,0.005146451653527992,AKI,-33.668015,-0.8995108,1.699460357843351e-248,8.628277440933303e-246,0.3718454849832592,0.5410910180089109,1.1344723936868246
IGFBP5,0.0035731466913901367,AKI,-28.865133,-1.7381495,3.272214635463283e-183,9.265086958700701e-181,0.1022437659287392,0.2569920251600584,1.1181252661698375
NR4A1,0.021522366324631857,CKD,-13.655101,-1.2275531,1.882274863851391e-42,1.1085469583166383e-40,0.09493249667237118,0.16375953901261486,1.0556115287962518
PLAAT4,0.0025461410691865033,Ref,-8.41567,-26.768703,3.906557159057294e-17,6.191409508221752e-16,0.0,0.06882354374253905,1.0365444079603536
MMP7,0.003971660595582456,Ref,-24.25183,-2.056509,6.324870667391639e-130,2.4506377176668634e-127,0.13625947470474176,0.32150948912222577,1.034125453792081
HSPA1A,0.005146451653527992,Ref,28.232168,1.1655818,2.3566092860767607e-175,1.577160764706872e-172,0.6321170456548564,0.446000925768022,1.0305740246785333
CLU,0.006610962180328525,CKD,29.719091,0.81583995,4.3518934454065496e-194,2.5630041257377333e-191,0.6129492298916144,0.48391995016352596,1.0279514386519528
TMEM213,0.003172565672622197,AKI,-32.016914,-1.3839742,6.341829418798415e-225,2.4899713452714256e-222,0.1769027035130678,0.3405219214496986,0.9730066927885735
C19orf77,0.00301045019112126,AKI,-21.219088,-3.1391468,6.364674797830576e-100,6.865222665630657e-98,0.021238318924591475,0.13486090830806094,0.9182174283586355
ZFP36,0.011230968281358975,AKI,-23.001047,-0.6847488,4.55015730949673e-117,6.836147055752562e-115,0.29613712458148017,0.42191770564229286,0.8779750956510392
EEF1G,0.008420609856610787,Ref,-13.129962,-2.7004733,2.2176867465776398e-39,1.0653217231072067e-37,0.06786532698748457,0.1661997222695934,0.8407414870114818
ATP6V1B1,0.005543298257156032,Ref,21.777008,1.4746057,3.833027556418672e-105,1.0548706771388842e-102,0.2936717786003878,0.11379637975978756,0.8335766329292122
LTF,0.005613155877273636,Ref,-12.824655,-4.1619425,1.1931718331308868e-37,5.4054355338777264e-36,0.012339150361360832,0.11657368382585816,0.8238986276525996
ATP6V0C,0.007714185950962088,Ref,-12.134992,-3.3464963,6.891714497791136e-34,2.6152102682532936e-32,0.03278688524590164,0.12863303042853313,0.8153177026155838
CRIP1,0.004151754264796397,CKD,28.043274,1.1487658,4.8249950161815096e-173,2.2200254412733893e-170,0.33884768967484313,0.19222083787572028,0.8091449469808601
MT1M,0.003988690169288935,Ref,21.579762,1.9909368,2.782949491682077e-103,7.382839070411002e-101,0.2852106469240261,0.11886374156454796,0.7951694549436463
NME2,0.008065481572574461,Ref,-13.270722,-2.6058424,3.422653282625483e-40,1.6882222983831256e-38,0.07826546800634585,0.17623699661363804,0.7938802183562687
TIMP3,0.003975031841609535,AKI,-27.699224,-1.1897402,7.133997197309589e-169,1.8427615392032935e-166,0.18834640947478887,0.33501815867310647,0.7838008757487192
ATF3,0.00855806434183773,AKI,-16.856712,-1.4794271,9.365625270753735e-64,4.951338731559878e-62,0.06531407725750837,0.15556553970571718,0.7761880970968745
RHCG,0.003459715806289835,AKI,-20.953323,-2.185086,1.7498303837067618e-97,1.8143399756694722e-95,0.04907300984458548,0.15994608558912726,0.7162229229279462
SEPP1,0.005289327495097414,CKD,20.79119,1.3792527,5.200638598506381e-96,9.512000298771267e-94,0.20355580908918045,0.09449462700513939,0.6786231883498723
RNASEK,0.008114329851543435,Ref,-12.725783,-2.3442144,4.251875014384242e-37,1.8743258016253407e-35,0.09659791997179623,0.18676151728506346,0.6605705368435404
SEPTIN7,0.004803913225775261,AKI,-16.425957,-2.1941786,1.24700053842441e-60,6.2132698570192225e-59,0.025935735345559943,0.11479276648320791,0.6135358612732347
ITM2C,0.0044044573209838,CKD,27.966814,0.8057239,4.1173518597214684e-172,1.8652870802033552e-169,0.4941528807758129,0.36843949540570003,0.5987824217900087
AKR1C1,0.0036741641901199677,CKD,22.085426,1.5352534,4.36418787074659e-108,9.179445730705347e-106,0.20902262787602205,0.09445569225977263,0.5924909178978885
MT1X,0.004281704585826713,Ref,25.609407,0.97254246,1.1985617088081306e-144,5.5146947873864096e-142,0.6590869028732593,0.4576461129924233,0.5882200145112262
GPX1,0.008132779571452529,Ref,17.570494,1.0727012,4.14552015316122e-69,5.1946013595803586e-67,0.3153534285210647,0.16466489633834386,0.5782683417115639
C19orf10,0.002946051764964509,AKI,-19.692652,-2.3095295,2.4928752062242226e-86,2.1527183635684657e-84,0.02963370146419469,0.13587180351192482,0.569269818359115
DEFB1,0.0059874114275842855,AKI,-23.288717,-0.7797533,5.7685752587322376e-120,9.333364595818033e-118,0.4454549997501374,0.5571904601445206,0.5463782486386586
RHCG,0.003459715806289835,Ref,19.54435,1.9151728,4.608352291195292e-85,8.986897345617733e-83,0.24784064868676187,0.09374619338806733,0.5436355796398064
DDIT4,0.0037309395271669264,Ref,21.657248,1.4151435,5.193616892186071e-104,1.390331242038211e-101,0.31094658910629297,0.13370039223329355,0.5325056550473376
RGCC,0.0029017513905811804,Ref,20.459867,2.0208058,4.907104499766636e-93,1.1289023922236573e-90,0.243610082848581,0.07766706458450069,0.5274400823828321
FOSB,0.0032933278766988806,Ref,24.104153,1.270914,2.2612434534325783e-128,8.428713414332802e-126,0.3937951701040014,0.19584866129071551,0.5235027749028455
MGP,0.002606884203450567,Ref,22.537233,1.8288075,1.7916894243774012e-112,5.553671418909614e-110,0.3331570597567425,0.16171705605768996,0.5208740463721921
PIGR,0.006250367974241225,CKD,23.555706,0.6848313,1.0972447777139092e-122,2.8593422096762376e-120,0.48920897509032135,0.3704641021647718,0.5117007076076503
CLU,0.006610962180328525,Ref,-18.848751,-1.0085686,3.008571774831873e-79,5.0337166507655766e-77,0.4997355896351137,0.5478597705069798,0.5087259857564318
CRIP1,0.004151754264796397,AKI,-23.465614,-0.9912051,9.158850655518984e-122,1.515172332882402e-119,0.18669731647593824,0.31184245011044964,0.4889709137211652
APOLD1,0.0028113579322143712,Ref,14.733404,3.728856,3.933801686468065e-49,2.738502559371752e-47,0.13573065397496914,0.016103491119935684,0.4881214938501497
SLPI,0.0025691454111347765,Ref,-17.814638,-2.6584985,5.440793387264022e-71,7.152457271194807e-69,0.0472413185263529,0.19068385022047896,0.46543879213369593
SEPP1,0.005289327495097414,Ref,17.491957,1.3355398,1.6499109019530422e-68,2.0328421058498426e-66,0.2681121099947118,0.12639169732258143,0.4640546163419597
HSD11B2,0.004036909134521858,CKD,24.040594,0.90991205,1.047056167900489e-127,2.936444092968162e-125,0.3661817836090511,0.24454913564865285,0.45743561526846044
TMEM213,0.003172565672622197,CKD,24.966839,1.0381632,1.401686111825525e-137,4.2995261390548166e-135,0.33841985168282945,0.2147640554430774,0.4425552593346029
ATPIF1,0.009189837681923366,Ref,15.8162775,0.8671802,2.4028715784496372e-56,2.150679616127856e-54,0.31094658910629297,0.16961044656125904,0.4276888815113048
IER3,0.0057559746845783286,Ref,17.815619,1.081844,5.346347923392641e-71,7.059816470858435e-69,0.43698219636876434,0.3305966331278778,0.42438209662092985
PLAAT4,0.0025461410691865033,CKD,17.379288,2.5643597,1.1841531037545272e-67,1.219222253365719e-65,0.11195094124358243,0.01829933032237969,0.4238373406427573
LTF,0.005613155877273636,CKD,-14.439756,-1.673692,2.908699825548093e-47,1.9510816346905396e-45,0.06260695949800342,0.13775112910761564,0.4200341819120378
ITGB6,0.003723684861461698,Ref,-15.2928095,-2.2178216,8.538576435146759e-53,6.907567590268313e-51,0.09606909924202361,0.20890686286452115,0.4142503637823186
EPAS1,0.001915787824802434,Ref,22.96587,1.8792071,1.0228420070908191e-116,3.422685066227653e-114,0.3090075797637934,0.13038711720710405,0.40849467724980376
C19orf77,0.00301045019112126,CKD,17.321663,2.0839038,3.2289231515723374e-67,3.2900380638183606e-65,0.13610001901502186,0.04532004360691481,0.4045321024222256
GRASP,0.0023894882073613533,Ref,17.02775,2.6680422,5.113316834238434e-65,5.791224646839199e-63,0.1753922087079147,0.03785903963748873,0.3967782298322225
WFDC2,0.01188918507143081,CKD,17.454786,0.50092334,3.1655593632264204e-68,3.30553994925278e-66,0.6170374595930785,0.49038311789440897,0.389975251389431
LCN2,0.004750747509489349,Ref,-11.873239,-2.6544144,1.63032531340081e-32,5.7289008954312235e-31,0.015688348316587344,0.11328477111603771,0.38136441049029896
PDK4,0.020461606311837792,CKD,-9.885459,-0.8750452,4.813712334762071e-23,1.4434764472682148e-21,0.13434112949229893,0.18081295748325807,0.37314722606783174
ATP6V0D2,0.002520152247782299,AKI,-19.481249,-1.6936145,1.5836726209775825e-84,1.3324116477121963e-82,0.051871470691119886,0.15721292448238422,0.34945766285221996
LCN2,0.004750747509489349,CKD,-13.721077,-1.8111607,7.592880729419505e-43,4.544462578032849e-41,0.0626544970526716,0.13319576389970408,0.3471218303213539
ETS2,0.00224540042777231,Ref,22.176573,1.3703372,5.781978131240743e-109,1.7026191003064616e-106,0.32310946589106293,0.14161814505323167,0.3254461809609444
HES4,0.0026310086864389714,Ref,20.465538,1.3242178,4.368279507557041e-93,1.0128561154254504e-90,0.3289264939185616,0.16634589616780762,0.3135432387029334
AKR1C1,0.0036741641901199677,AKI,-17.733816,-1.2570363,2.2989028811035774e-70,1.4558235083840224e-68,0.09229923542051871,0.18630424201579993,0.3133086075977608
ACTB,0.0070997389396219605,CKD,-26.152557,-0.29901445,9.216849199747248e-151,3.309860468109234e-148,0.9482316029663435,0.9358744743809375,0.3130893134007628
ATP6V1B1,0.005543298257156032,CKD,14.942967,1.1305718,1.7309237236723478e-50,1.2554313027334883e-48,0.17807567978703176,0.1008799252452889,0.30020150726401196
ATP5G3,0.007709946084983364,Ref,14.802449,0.81441617,1.4124389951544723e-49,1.0046398814085446e-47,0.3079499383042482,0.1751406923770312,0.2951053002282491
FXYD4,0.0025992888098770204,AKI,-21.13704,-1.1745247,3.6315400504863416e-99,3.860576168471888e-97,0.11698565788816151,0.2322438129469467,0.29434308819932314
HCST,0.0018869623660282375,AKI,22.727531,1.3221391,2.3942760341809723e-114,3.3414334776553124e-112,0.24721403228224476,0.1293571455314688,0.2781134807715436
HLA-DRB5,0.004497692622429059,AKI,14.467975,1.3424925,1.9307306568475316e-47,6.6652081655555996e-46,0.16445954724901304,0.09004455427009622,0.2727791633689226
DEFB1,0.0059874114275842855,CKD,19.520912,0.5367195,7.292591172090934e-85,1.057856809086511e-82,0.5762502376877734,0.45452421741161814,0.263433461577306
HLA-DRB5,0.004497692622429059,Ref,14.588074,1.2686049,3.345088509990819e-48,2.2696502616059825e-46,0.22615899876608497,0.10751090213657515,0.26043553145866005
ID3,0.002471525775938054,AKI,-23.104141,-0.90611684,4.206854231913437e-118,6.45204357120599e-116,0.1731547648793164,0.30008611329514395,0.25796766164279444
ATP6V1G3,0.001974817402300119,AKI,-17.201376,-2.0421908,2.592982514298028e-66,1.4712053198176114e-64,0.03642996352006397,0.12890785877419597,0.25743283168336895
ID3,0.002471525775938054,Ref,21.197117,1.072216,1.015280461872205e-99,2.599735979195724e-97,0.39749691521240965,0.2247423685043974,0.2559513613615833
CALB1,0.002411786376041283,AKI,-17.236967,-1.6134611,1.4020372838030903e-66,8.016658620611573e-65,0.06401479186447454,0.15575274252124752,0.2494183024208718
ID1,0.002410405721624435,AKI,-22.971369,-0.88568395,9.012570522111373e-117,1.326965820823068e-114,0.197391434710909,0.3213523531393912,0.24311148629446175
S100A1,0.0032610409534378684,Ref,-14.844717,-1.574364,7.527205638664977e-50,5.4594488778760483e-48,0.11775074916270051,0.2302238896874315,0.24265056461381151
MT2A,0.008038379799572786,CKD,-17.221815,-0.46695653,1.8218570462812295e-66,1.8063375232943896e-64,0.6882962540406922,0.6949073353060271,0.2392648163332511
CD74,0.006589575443454287,AKI,18.542667,0.47772947,9.346862384986979e-77,6.746006290458617e-75,0.6544400579681176,0.609981654124078,0.2334927109342487
SH3BP5,0.0019533162995481025,Ref,18.344427,1.6494374,3.65763458047223e-75,5.467328197521104e-73,0.23691168693812797,0.08758252734670012,0.23281971206664526
ID1,0.002410405721624435,Ref,20.263153,1.0735503,2.719772435986383e-91,6.0673590092796225e-89,0.40842587696104354,0.2488854240261164,0.22827841629440856
GNG11,0.002051505583973137,AKI,-24.177217,-0.8579089,3.8637284122535865e-129,7.11095065972696e-127,0.22292738993553546,0.35283986671159534,0.22202122647288466
KRT19,0.003116066725385419,CKD,21.633512,0.69683045,8.690760905547876e-104,1.7528550437374542e-101,0.39227990112188627,0.2756969319420651,0.2187791256926205
DCXR,0.004455107866555275,Ref,18.336151,0.6492118,4.2590129827632845e-75,6.334098752698507e-73,0.5945707738410012,0.447219041586474,0.2088198153728319
SLC9A3R2,0.0018389911635199737,Ref,17.24392,1.7777337,1.2431434087149106e-66,1.4820584597744116e-64,0.24396263000176274,0.11004458303895534,0.20867253905835884
MT-ND4L,0.01711701723758298,Ref,11.803466,0.40527576,3.745607150121103e-32,1.2960857079860883e-30,0.9710911334390975,0.8924647355470559,0.20733201340028856
PCK1,0.0029456196695872346,Ref,16.218782,1.152665,3.7148442905168013e-59,3.5748699288512496e-57,0.2566543275163053,0.1207640022413331,0.1916543353291702
FXYD4,0.0025992888098770204,CKD,17.50547,1.096672,1.3014981822667049e-68,1.3736636907959733e-66,0.2323635672181023,0.14234542906089395,0.1877444115481368
SGK1,0.007426664841376918,CKD,-13.457688,-0.6468736,2.774614835199422e-41,1.5957828721116675e-39,0.1615326107625024,0.23170066967762032,0.1863853123798068
CLU,0.006610962180328525,AKI,-17.438997,-0.423714,4.1732797167635115e-68,2.4726472398296807e-66,0.4794363100294838,0.5889026170953611,0.18377507326397258
AQP3,0.0023609362944546665,AKI,-18.262398,-1.0797387,1.648906256425667e-74,1.1291940123945726e-72,0.14442056868722203,0.23827174360702386,0.1834074773582587
CALB1,0.002411786376041283,Ref,14.989083,1.5719576,8.653922273987603e-51,6.484276061122467e-49,0.22051824431517716,0.10207810558627914,0.18269211852388056
TIMP1,0.003418616233275971,Ref,-16.961514,-0.8604369,1.5821550562091384e-64,1.7449333310932771e-62,0.30883130618720256,0.42105391380612467,0.18166203049065985
GSTA2,0.0029951500218052783,Ref,12.413155,1.7811478,2.2174178859509646e-35,9.081544434992777e-34,0.1570597567424643,0.05635003776159037,0.1762717742722115
7SK.2,0.001970633330834943,Ref,10.437719,3.8218257,1.6676839369796913e-25,4.21168858424022e-24,0.09289617486338798,0.007601042707140595,0.17605097208823167
TMEM204,0.00131927038098092,Ref,16.352707,2.3234828,4.160823986346846e-60,4.153348607659511e-58,0.1752159351313238,0.04229298121665408,0.175891936773092
ACTB,0.0070997389396219605,AKI,21.58051,0.2436543,2.738323594273425e-103,3.149820893772248e-101,0.9302883414122233,0.9497922048747613,0.1738560953777374
ITM2C,0.0044044573209838,AKI,-18.994865,-0.4928068,1.8807230098143557e-80,1.4807927933155972e-78,0.36484933286692317,0.47014115092290987,0.16893255996539966
LIFR,0.001580440353056853,Ref,19.758762,1.2692425,6.743917231929769e-87,1.4032438714020733e-84,0.320289088665609,0.15906156357346457,0.1682056732452238
TMSB4X,0.007872982966950128,AKI,17.091204,0.33852735,1.7257494694589178e-65,9.570272057844963e-64,0.8394882814452052,0.8442472574787525,0.16795970558912596
ATP6V0D2,0.002520152247782299,Ref,15.97724,1.2100345,1.8412049873269087e-57,1.71575833107011e-55,0.23021329102767496,0.09576826564669769,0.16700594548154585
ADM,0.0016241117500460543,Ref,15.537145,1.955529,1.9445672189447424e-54,1.6407355557669292e-52,0.18420588753745815,0.0580553999074232,0.16446891238355782
C3,0.0016504644931334457,AKI,16.704039,1.6024762,1.2248488724122293e-62,6.383738893083703e-61,0.1544650442256759,0.06626979669774233,0.1592053512428584
CDH6,0.0018655068010024786,Ref,-13.339635,-2.2042766,1.361238760434021e-40,6.793965725169595e-39,0.06627886479816676,0.16900138865203304,0.15694985523098495
CD52,0.001503223464578994,AKI,19.559517,1.2597756,3.4231038820254267e-85,2.9049031704323557e-83,0.20473739443306183,0.09966677898835599,0.15630207322185022
MMP7,0.003971660595582456,AKI,14.95687,0.81321824,1.404792849509976e-50,5.269673253442072e-49,0.33266703313177753,0.2738028379946834,0.15593027803221285
ITM2C,0.0044044573209838,Ref,-13.822472,-0.85906494,1.865520003250264e-43,1.0708375737955267e-41,0.3811034725894588,0.4311155504665384,0.15501984319236176
AQP2,0.002044793230657865,AKI,-16.951984,-1.2123772,1.86065955675649e-64,9.998328826242403e-63,0.08955074708910099,0.18188625556928376,0.1537019416246623
G0S2,0.001756551525041069,AKI,-19.132353,-1.0840758,1.3580208867282352e-81,1.0866750285729984e-79,0.12248263455099695,0.22370736455876297,0.15036582387481306
SLC26A7,0.0013989487540046817,AKI,-17.321302,-1.6461567,3.2492137791740596e-67,1.8797563488278692e-65,0.05072210284343611,0.1440338462690479,0.14905654791502634
TIMP1,0.003418616233275971,AKI,18.314157,0.6019219,6.3806086081438815e-75,4.4209360396238324e-73,0.4469042026885213,0.3778501628664495,0.1488867219490662
ALDH6A1,0.0029606081006593493,AKI,-18.877924,-0.651742,1.7326213476308152e-79,1.3286588756167868e-77,0.21033431612613063,0.3162978771200719,0.14833741660394537
PCK1,0.0029456196695872346,AKI,-15.121558,-1.0114951,1.1674778783647115e-51,4.5294757686700475e-50,0.09020038978561791,0.17252611479276647,0.14701931342841776
