gene,importance,group,scores,logfoldchange,pvals,adj_p_value,pct_nz_group,pct_nz_reference,combined_score
MT1A,0.00065801608517107,AKI,-1.9315932,-0.9464515,0.053409736367173395,0.150531824923828,0.016840737594323123,0.027219289378112247,0.0005121568782921704
ATHL1,0.00024795541819220337,CKD,2.6372519,1.4873424,0.00835807459885936,0.04097905806070788,0.025527666856816886,0.011446815137828999,0.0005116796475715859
DPYS,0.000827680410468024,Ref,2.5723522,0.44448242,0.010101010508551705,0.04070121188359634,0.11898466419883659,0.09983677248032743,0.0005115107051758737
CSTA,0.0002452090743975155,CKD,-3.727517,-0.7243246,0.00019337561236995598,0.00133387951685596,0.033609051150408825,0.05357420962466906,0.0005106108022542318
GASK1B,0.00013669239793570495,AKI,-2.3945591,-2.8924692,0.01664036293792251,0.05180892021917997,0.002548598270950977,0.015462952562806545,0.0005082968639568621
CALCA,0.00022872782756137324,AKI,-2.8920145,-1.1774979,0.003827804157229898,0.013123454304103948,0.01629103992803958,0.03182447864015875,0.0005068595546578917
SPOCK1,0.0002605379406652964,AKI,-2.9424403,-0.97884744,0.003256365851709562,0.011263973362538643,0.019939033531557643,0.03575573776629601,0.0004968710424708482
SERPINB9,0.0004354621132925299,CKD,-3.2721024,-0.5194408,0.0010675095409628298,0.006413987645936023,0.0473949420041833,0.06482635103566423,0.0004960206054618673
ACAP1,0.0006027536228156577,CKD,-2.8279676,-0.5096706,0.0046844554910878775,0.02454504641389052,0.05381251188438867,0.06852515184550693,0.0004946124568337354
AOX1,0.00048100272036180153,CKD,-2.9302201,-0.5909137,0.0033872190049438495,0.018271375350537012,0.04102490967864613,0.05653325027254322,0.0004940586786444684
ITLN1,0.000267030875752931,Ref,2.63927,1.2587786,0.008308476260432508,0.03406567814549653,0.03402080028203772,0.012327332082734427,0.0004933363017570211
FGB,0.00018206049845177676,AKI,2.7847135,1.5504855,0.005357502564513618,0.017960197861706797,0.0253860376792764,0.010408476543487213,0.0004927768311938689
EGR2,0.0008022262396005978,AKI,-2.555979,-0.41545656,0.010588953682212486,0.03408909140484433,0.017740242866423468,0.03174959751394661,0.0004890648342622555
FHL1,0.0007992172206195118,Ref,4.033518,0.17408668,5.494799210165874e-05,0.0003165206422960768,0.13114754098360656,0.09530538163568592,0.000486909803196841
AEBP1,0.00043154278486015087,Ref,3.1518364,0.52870536,0.0016224720400582632,0.0075191901422089515,0.08002820377225454,0.05405998002290058,0.00048457064890011965
S100B,0.00010148185385200023,AKI,2.9451602,2.4459484,0.0032278755622131244,0.0111732986576337,0.02058867622807456,0.004717510951364709,0.0004844791896724369
CFP,0.0002009534275640384,AKI,3.2463567,1.0170591,0.0011689224618945707,0.004307503408260471,0.03937834191194843,0.02201505110636864,0.0004835205374465309
SUCNR1,0.001088373128024146,Ref,-1.8353995,-0.6726365,0.06644651714067122,0.21857133492418962,0.1069980609906575,0.11728019100056034,0.0004834702773105948
PCDH12,0.00011578543700800257,Ref,3.957361,1.2395881,7.578236103581213e-05,0.0004293118863835244,0.04970914859862507,0.01705362145832826,0.0004832854924119154
SH2D2A,0.00016715236615578,AKI,2.8194408,1.5956025,0.004810740449539197,0.01622701878780993,0.024736394982759483,0.009584784155153693,0.0004773449625643635
CAVIN1,0.0007666662335457914,Ref,3.3282206,0.26193756,0.0008740265382008491,0.004260463411753088,0.14313414419178566,0.11496577094550149,0.00047604935186593156
FAM26F,0.0005017248341576945,Ref,1.8345236,1.4353489,0.06657630695758401,0.21887601998213424,0.02344438568658558,0.008429361463687968,0.00047515639265708275
DES,0.00010604174208388178,Ref,2.5931604,3.1341112,0.009509839275876153,0.03858843008911741,0.024502027146130794,0.00331327502618949,0.00046978618454204704
C1QB,0.0002793890939876595,CKD,-3.0526698,-0.8861338,0.002268154012173025,0.012721967846944583,0.03232553717436775,0.04831801900015574,0.000469267087485228
CETP,5.531056577545298e-05,Ref,4.3022575,2.1282444,1.6906677049472195e-05,0.00010421832092857603,0.04371584699453552,0.008429361463687968,0.00046874533180111513
PLTP,0.0003817259108299773,AKI,3.0823114,0.57473606,0.002053998653525394,0.007317214898422728,0.07810704112737994,0.06230109700849901,0.00046854468696808863
SLC11A1,0.0006556090587591225,AKI,-3.3853219,-0.2777498,0.0007109484756436952,0.0026968053281308632,0.04177702263754935,0.06065371223183197,0.000467830185796752
TM4SF1,0.0010098418424355404,CKD,3.4155407,0.19258657,0.0006365552883200134,0.004000991157984938,0.15701654306902452,0.13817941130665004,0.0004663351888930883
SERPINE2,0.0007000461957137017,CKD,3.2771165,0.3024426,0.0010487308410243722,0.0063088819357803244,0.11565887050770109,0.09815449306961532,0.000465802435251023
CALCRL,0.0005998801019561321,CKD,3.5943573,0.29068843,0.0003251933524665874,0.00215045332362084,0.10724472333143183,0.08768104656595546,0.00046514861947387066
MT2A,0.008038379799572786,AKI,-2.3029487,-0.048689723,0.021281735104156367,0.06489419629409678,0.6579881065414023,0.7173611891122843,0.0004648865751965049
ALS2CL,0.00038060735556970826,Ref,3.1641598,0.56946343,0.0015553137975311572,0.007237567224383689,0.07544509078089194,0.049187516749092504,0.0004639161160756972
GPR183,0.0004629933067525903,CKD,-2.8175843,-0.6232308,0.004838640710812226,0.02525406824021404,0.03080433542498574,0.04590406478741629,0.0004610099985037359
POU2F2,0.0003654926038796706,Ref,-2.393043,-1.0538197,0.016709283808135637,0.06403413330272906,0.025912215758857746,0.04519209686456988,0.00045972646006536274
CD300A,0.0002732687774561469,AKI,3.09226,0.77966726,0.001986389365050383,0.00709782885968191,0.044425565938733695,0.02785577895091542,0.00045783644213676637
SEMA3G,0.0001284021981123542,AKI,-3.5539339,-1.2602189,0.0003795146889192532,0.0014894800805818004,0.012293238718704712,0.031524954135310194,0.00045744502699575297
ISG15,0.001632069143026535,Ref,4.146274,0.07574863,3.379293909444337e-05,0.00020026175840492529,0.2178741406663141,0.1771384023192925,0.00045722234624476574
MS4A4A,0.00018980703890334545,CKD,-3.3300521,-1.0540895,0.0008682975894197121,0.005313540963350428,0.01934778474995246,0.037143747079894096,0.0004550906403991212
ENPP2,0.0005268482229089936,CKD,2.7585356,0.56544006,0.005806099179283328,0.0297097787789532,0.0717341699942955,0.05727301043451176,0.00045492492804916177
CD69,0.0006198322855100532,Ref,-2.4327571,-0.59158933,0.014984346143242079,0.05804315191792285,0.060461836770668076,0.07959168757765488,0.00045331541232809813
KLRG1,0.00022931342026191417,Ref,-2.3490317,-1.720922,0.018822302800800807,0.07119381849251037,0.01286797109113344,0.031938996759811926,0.0004528612835510319
SLC7A8,0.0019308777237180925,CKD,-2.4381444,-0.20033766,0.014762869658465396,0.06775595742406959,0.1202700133105153,0.13288428593676999,0.0004522216977465282
PTTG1,0.00028182763138610633,AKI,2.7216897,0.9616568,0.006494907946743974,0.021520823034518938,0.0398280945479986,0.02538470178591486,0.0004518310224439529
CD97,0.00044311226636902797,CKD,2.2169588,1.0765698,0.02662591503369481,0.11317166859082146,0.023911389998098498,0.012030836318330478,0.00045140617161113525
TMC8,0.0002695754448499969,AKI,2.8483772,0.91397357,0.00439428077029025,0.014919680138676006,0.037229523761930935,0.021977610543262572,0.0004499579551309587
SLC26A4,0.0003147060603041216,Ref,2.4597068,1.1138585,0.013905056562782037,0.054211862915959565,0.035254715318173806,0.015080273832435988,0.00044374805151148523
C1S,0.00033748854607289853,CKD,-2.8931806,-0.77523726,0.0038136190735902223,0.020342082883620796,0.03726944285985929,0.05244510200903286,0.0004425807594068374
FYB,0.0010678683570995988,CKD,1.6353296,0.9164747,0.10197997305003371,0.3540861061672377,0.02277048868606199,0.014055443077402275,0.000441275559884251
IL8,0.00016833549158190613,AKI,-1.4219729,-6.4114966,0.15503411949409796,0.3905963138896905,0.00014991754535005747,0.007825077689168444,0.0004406406481367447
PGM5-AS1,0.00013108477514641475,Ref,3.027977,1.7198209,0.0024619675293847234,0.011122669198802079,0.0324343380927199,0.007601042707140595,0.00044046719130241883
DERL3,0.0002736516725371774,AKI,2.5845315,1.0680342,0.009751136331876385,0.03153324308859696,0.03218229973514567,0.018345875921973866,0.0004387638953938451
VWF,0.0005477459513162448,CKD,2.524926,0.6315795,0.011572267447016149,0.05478594204377565,0.041452747670659824,0.027955147173337486,0.0004363512630510778
ABI3BP,0.0005833916945277895,Ref,-2.6971598,-0.4861036,0.0069933727375154275,0.029074381900552986,0.05270579940066984,0.07464613735473968,0.0004357312155279227
ADAM8,0.0002561364165383158,AKI,2.8295949,0.94333506,0.0046606998383619015,0.01576425776938237,0.037879166458447855,0.022763862368490023,0.0004354825576318708
EFNB2,0.0006529018429718382,CKD,2.8947833,0.39307627,0.003794203292760183,0.020255240094617315,0.09136718007225708,0.07646783990032706,0.00043461061818327
GPIHBP1,7.084467616345738e-05,AKI,-3.5856824,-2.1265886,0.00033619807043368174,0.001330469638497598,0.00514716905701864,0.02452356883447527,0.0004332901625100852
SAA2,0.00013433844965628078,CKD,-2.973987,-1.7971832,0.0029395753572206314,0.016107494518808326,0.0097927362616467,0.0256969319420651,0.0004328786642893329
MAP3K7CL,0.00038117640548582124,Ref,2.849349,0.65578026,0.004380878936649364,0.01892382896398912,0.05852282742816852,0.03510609788778717,0.00043069254301553357
MARCH1,0.0003169711435272785,AKI,2.9952893,0.6731829,0.00274184630897151,0.00959695094024534,0.049572734995752335,0.033584185106144,0.00043057150412245524
SLA,0.000696347338077569,Ref,2.3609293,0.53146344,0.018229203447634925,0.06924604668762972,0.05958046888771373,0.04010037274344044,0.0004291502824179116
SOCS3,0.0012914630965918212,AKI,-2.933741,-0.17055124,0.003349034788035171,0.011569571492640976,0.14297136574883815,0.15927215545321802,0.00042657496334484496
IKZF3,0.00023565517994627365,Ref,-2.171686,-1.8694103,0.029879353263125068,0.107984452078945,0.007403490216816499,0.02514191049284966,0.0004258393855348021
EMP1,0.0009123628003440444,CKD,3.9552536,0.14365664,7.645354436187264e-05,0.0005669422112374878,0.14299296444190912,0.12038623267403831,0.0004255038514280384
JCHAIN,0.00017316097829153787,Ref,-1.7601174,-4.102079,0.07838789614238513,0.25263088297086733,0.0008813678829543451,0.01527517236338831,0.0004244258306916417
SELL,0.0003984231696521401,CKD,-2.6075432,-0.7815475,0.009119455740279224,0.04428440191029062,0.024862141091462255,0.03874007163993148,0.00042153940217955216
ITGA5,0.00025366166554838525,Ref,3.4559987,0.648959,0.0005482579836391295,0.0027573958743332956,0.07156707209589283,0.042975126074987206,0.0004213348375809727
SYTL1,0.0004895588487745644,CKD,-2.6699245,-0.6012819,0.007586827993893352,0.037617330179521395,0.04535082715345123,0.059219747702850024,0.0004193528798158094
SLC13A1,0.0006397843864028392,Ref,-2.5446362,-0.4818468,0.010939159956090698,0.0437432704001905,0.07720782654680064,0.09725436694520916,0.0004189772506171902
GATM,0.0026332569576623657,Ref,-3.332767,-0.066830836,0.0008598692289607881,0.004197707093038516,0.243610082848581,0.2755134358174775,0.0004183088963541791
MFAP4,0.00011599964293602469,Ref,2.9777353,1.8970501,0.002903866439223819,0.012954121350677746,0.03261061166931077,0.008234462932735645,0.0004153781039407904
RASGRP2,0.0004157888733757381,AKI,2.7089345,0.6032595,0.006749965820752542,0.022290708032264225,0.06296536904702414,0.04915945935826875,0.00041433776128877044
ITGAX,0.00025177706281287335,CKD,-3.213022,-0.77856946,0.0013134617798445985,0.007766568078530902,0.02914052101159916,0.04625447749571718,0.00041356979610832496
GPR126,0.00017482448881180567,AKI,-2.546146,-1.6180273,0.010891964633216494,0.035007169019245374,0.006396481934935785,0.020143022951065185,0.00041181547761490786
ITLN1,0.000267030875752931,AKI,-2.4268396,-1.1604309,0.015230989370134318,0.04779485762812716,0.007445904752386188,0.020592309708338013,0.0004092213204984217
REG3G,0.00012425820992435077,Ref,-1.885227,-4.6428742,0.05939920180090707,0.19838134234221508,0.0012339150361360832,0.01663946208005457,0.0004052824818460942
SYNPO,0.0004339981136271345,AKI,-3.3544204,-0.3688222,0.0007953140692066801,0.0029963681417514215,0.057768227474888814,0.07596690254221423,0.00040391670106786667
TGFBI,0.00030919109654117734,AKI,2.99984,0.6409643,0.002701214835205162,0.009463732689147698,0.05646894208185498,0.04066045153319106,0.00040110487943465227
FSTL3,0.0009153354613658138,Ref,-2.703159,-0.28370407,0.006868384972137757,0.028603214859926538,0.09342499559316059,0.11462469851633493,0.00040084498062073807
TNNT2,0.00019576608502060617,Ref,2.6632922,1.3579727,0.007738020009274904,0.03191446764299632,0.03684117750749163,0.015080273832435988,0.00039770742590355344
CD163,0.0002742936537552128,CKD,-2.6366134,-1.0435328,0.008373820159187174,0.0410357600645007,0.01587754325917475,0.029979753932409283,0.00039696065731688703
GALNT15,9.261741812522288e-05,Ref,3.544237,1.5833338,0.0003937511152314483,0.0020238766085216367,0.041600564075445094,0.01252223061368675,0.00039503273881427286
EDIL3,0.0004450381542029978,CKD,3.2234464,0.41428503,0.0012665801888711572,0.007513494524917196,0.05908918045255752,0.041543373306338574,0.0003916366374650629
IGHM,0.00021526985760305284,AKI,2.2754602,1.565154,0.022878329631530636,0.06942479108199533,0.017790215381540152,0.00550376277659216,0.00039032903575525685
ITGAX,0.00025177706281287335,Ref,-2.4123044,-1.2763009,0.015852043735475746,0.06113084492909302,0.021505376344086023,0.040904329183618776,0.0003900270811971574
PLTP,0.0003817259108299773,Ref,-2.673377,-0.67722046,0.007509179624572342,0.031026071615656205,0.05023796932839767,0.07167393475771676,0.0003899076263934023
FCN1,0.0003019880210470008,Ref,-2.63956,-0.8789908,0.008301374306594365,0.03404604027942678,0.026264762912039486,0.04787195166516432,0.0003896551401123071
DPEP1,0.002035563724776364,AKI,-1.9997048,-0.21616633,0.04553214148487263,0.1302311539700956,0.09844585477987107,0.10876483582313078,0.00038954345975486385
ITGAL,0.0002870892660987155,Ref,-2.3902357,-1.1343149,0.016837563598685833,0.06446700497861159,0.020800282037722547,0.04017345969254757,0.0003877388052480205
MARCH1,0.0003169711435272785,Ref,-2.4658644,-0.95937985,0.013668309301394272,0.05336657438320831,0.022739291380222106,0.042877676809511045,0.0003870319616973316
CD83,0.0006286883323750502,CKD,-2.7592692,-0.4028994,0.005793080167256561,0.029657307316620994,0.048298155542878876,0.06315215698489332,0.00038700622604866054
AL034397.3,0.00016511476839889565,Ref,-2.0870132,-2.6331468,0.03688693539587136,0.1304129651341366,0.004935660144544333,0.02195044704850537,0.00038463324349973616
ITGA4,0.0004583062869620772,CKD,-2.8261805,-0.5217461,0.004710672367342179,0.024662651042373335,0.043069024529378205,0.05805170534184707,0.00038449467700496303
CD27,0.0003111198489220284,Ref,-2.2484205,-1.1840105,0.02454938492575145,0.09045909443857172,0.013925612550678654,0.03232879382171657,0.00038441082337633376
PRAP1,0.0009042943303212821,Ref,2.1815336,0.43425834,0.02914397379274054,0.10559894134057225,0.08161466596157237,0.06414597899968329,0.00038340630802354806
RUNX1T1,0.00015986277015267588,AKI,-3.3503811,-0.951116,0.0008070044972675555,0.0030388569604907554,0.01624106741292289,0.03440787749447752,0.0003827489778017942
CUBN,0.0009729668188266584,Ref,2.0921752,0.4412827,0.03642284767656802,0.12894248563740063,0.12497796580292614,0.11087290179550272,0.0003819544988388207
PSTPIP1,0.0002452915923462654,CKD,-3.058038,-0.817358,0.002227912874289874,0.01252429572893066,0.022913101350066554,0.039324092820432956,0.00038138343452031914
OLFM4,0.0002249820608027002,CKD,-2.4932244,-1.3787259,0.012658883649164763,0.059263298381073894,0.014498954173797299,0.027799408191870423,0.0003806678378707741
DLL4,0.00012621049316617259,Ref,3.4698744,1.1651175,0.000520701744241458,0.0026277813646406536,0.04265820553499031,0.014057056544936292,0.00037944954472173806
SEMA3G,0.0001284021981123542,Ref,3.7297614,0.98766094,0.00019166115309246365,0.0010293353957894907,0.05041424290498854,0.019538577727970376,0.0003788610689834136
IGSF6,0.0003295847112892615,CKD,-2.9918761,-0.6328236,0.0027726864228115175,0.015289756009837221,0.042213348545350825,0.05785703161501324,0.00037867772257089624
SAMD3,0.00021581887065464118,AKI,2.7563806,1.01746,0.005844494392671179,0.01949731804474773,0.03198240967467893,0.017185218465685725,0.0003754993991967441
ARHGEF15,0.0001350342695410674,AKI,-3.302352,-1.1353272,0.0009587766706110674,0.003574714689729565,0.011743541052421168,0.02965292598000674,0.0003751078699881577
ALOX5AP,0.0006212255948694648,Ref,-2.0435166,-0.71336967,0.04100132222705583,0.14325651822735086,0.06663141195134849,0.08173557141813044,0.00037397929647913744
CD8A,0.00020355698818591743,AKI,2.5763214,1.2304456,0.009985776041319326,0.03225659796936488,0.026235570436260056,0.012392826388108878,0.0003735400529149894
STC1,0.0014791909881431869,Ref,2.023402,0.30511343,0.04303172171359771,0.1495874287923872,0.12691697514542571,0.11099471337734791,0.00037238720535686716
PHLDA2,0.0014131987942066755,CKD,-1.9606204,-0.37046963,0.04992332352482581,0.19533511929784025,0.09578817265639855,0.10489020401806572,0.00037130999547665906
APOBEC3G,0.00046788883027858966,CKD,-2.7159603,-0.53710157,0.006608387176571191,0.03334427299323027,0.04677695379349686,0.06101074598972123,0.00037117040685359464
PGF,9.69443214678493e-05,Ref,3.3529332,1.5852989,0.0007996002427454607,0.00392495888450168,0.03948528115635466,0.01198625965356786,0.00036979319720627484
SFN,0.00032680286716176373,AKI,2.5869458,0.7506081,0.009683083374308009,0.031323492927963076,0.04572485133176753,0.032049122018795166,0.00036896435947556796
LILRB2,0.00016221302764694468,AKI,3.1167119,1.0384406,0.0018288029876819,0.006565532959761963,0.03503073309679676,0.01827099479576173,0.0003676777961673409
PLAUR,0.0004658375020256659,Ref,2.4150364,0.6458481,0.015733632057533697,0.06071869140715436,0.06821787414066631,0.04865154578897361,0.0003660499423183519
HCK,0.0002596671505880466,CKD,-3.0979223,-0.71969074,0.0019488245489264716,0.011072166022040867,0.027761931926221714,0.04434667497274568,0.0003654938993691374
ITGB2-AS1,0.0001840318888175919,AKI,2.9253776,1.0294502,0.0034403837516340185,0.011864267517785097,0.03528059567238019,0.019618855067580217,0.0003648382538432774
CCL28,0.0004719030681300199,AKI,-3.3750098,-0.30198595,0.0007381305552197632,0.0027934366353368936,0.03543051321773025,0.05413905425137594,0.0003639458935554732
LY86,0.00028076727329083665,CKD,-3.1517873,-0.63930917,0.0016227441929379902,0.00940833791089683,0.034369652025099826,0.05119919015729637,0.00036374853983354175
ENPP2,0.0005268482229089936,AKI,-2.5348263,-0.47344306,0.011250308688601815,0.036091931577868795,0.056069161960921494,0.06956456625107642,0.00035982899422419074
PTGDS,0.0003453459748277563,AKI,-2.7892594,-0.5941229,0.005282873865797853,0.017722121978372,0.026635350557193543,0.041783668426373134,0.00035936594929072914
SLC16A9,0.0008924376864008623,Ref,2.286957,0.3711492,0.02219833739366255,0.08269126391286288,0.11246254186497444,0.0946963237264599,0.0003585671882094488
BCL11B,0.00021110727372972051,Ref,-2.145703,-1.7983133,0.03189666937981312,0.11439060080713154,0.00916622598272519,0.026652374107730165,0.0003574698751903967
TGM2,0.0006215799073149722,Ref,2.6595852,0.38426515,0.007823690781199035,0.032221569571184334,0.10400141018861273,0.08251516554193973,0.00035633139920420516
HSPA12B,9.962829535245434e-05,Ref,3.6879725,1.2249082,0.00022604808304796167,0.0012039135289407356,0.04706504494976203,0.016663824396423613,0.00035627106890678416
MFGE8,0.0003418369571193677,AKI,-3.0598698,-0.49309006,0.0022143327484910958,0.007857972577105,0.03782919394333117,0.054401138193118426,0.000354758898129834
TRG-AS1,0.00010367719089479272,AKI,2.902785,1.8008604,0.0036986051050612763,0.01269380239262697,0.023487082104842336,0.007862518252274514,0.000354074875297064
IFITM1,0.0011569966641614775,CKD,-2.4359984,-0.2621173,0.014850744596116783,0.06809558955494409,0.1065791975660772,0.11878990811400093,0.00035387864928811423
REG3G,0.00012425820992435077,AKI,2.7187643,1.7104526,0.006552626367047319,0.021697423662480876,0.023137274499025536,0.00849900782507769,0.0003535761026678486
UGT2A3,0.0009222671644713518,AKI,-2.6034663,-0.250553,0.009228635587466743,0.02991914919565487,0.1124381590125431,0.1255756486577558,0.0003521727969149143
PSTPIP1,0.0002452915923462654,Ref,-2.2763522,-1.3383505,0.02282494089166978,0.08476807093416573,0.015688348316587344,0.03418032986576364,0.0003518464744564296
TIGIT,0.00014477287744407916,CKD,-2.757618,-1.5922364,0.005822422316098058,0.0297808584418191,0.009412435824301199,0.024139542127394487,0.0003517767698647995
HLA-DQA1,0.0008112227161157668,Ref,3.759959,0.1426696,0.00016994126931145498,0.0009208708135374722,0.1752159351313238,0.14010768143835114,0.00035135399685613463
CD7,0.00046592010654142524,CKD,-2.6803012,-0.5239633,0.007355592358978509,0.03662497940392968,0.036556379539836474,0.05088771219436225,0.0003506178790308906
MYO1F,0.00026949780202509136,Ref,-2.4585316,-1.0239669,0.013950650841735883,0.05436802743999425,0.0273224043715847,0.047116719857724074,0.00034899057918702655
HLA-DQA1,0.0008112227161157668,AKI,2.3779924,0.33696258,0.017407180624840042,0.05398517618321903,0.149517765229124,0.1405144333370774,0.0003465349141674571
FABP5,0.0005229319388635788,Ref,-2.2480462,-0.62957346,0.024573246811877513,0.09053026383952922,0.05446853516657853,0.07225863035057373,0.00034344859809471166
AMICA1,0.0004003661152907947,Ref,1.6107826,1.7695074,0.1072271108642885,0.3321603969725125,0.01868499911863212,0.0055058834994031235,0.00033910150131345593
ATP1B1,0.0064279859113715076,Ref,1.8492558,0.077963166,0.06442088329072142,0.2127399069487354,0.6289441212762207,0.6256973713060637,0.0003368458915118373
HSPB6,0.00011727772090228787,Ref,2.661744,1.9146109,0.007773695329069437,0.03202462316103913,0.028380045831129914,0.006577825419640899,0.0003355804073674175
ICAM1,0.0002776451089632931,CKD,-3.2267032,-0.5661923,0.0012522531733366142,0.007435994998032522,0.04382962540406921,0.06101074598972123,0.0003346266252357397
CCL28,0.0004719030681300199,Ref,-1.7972034,-1.1261685,0.07230333144319757,0.23515752164875622,0.033844526705446853,0.047823227032426245,0.0003340865267464987
HTRA1,0.000595573102861933,CKD,3.293163,0.2516184,0.0009906697995446783,0.0059852797675814815,0.09987640235786271,0.08199657374240772,0.00033311977150518243
JAG2,0.00029860857424562383,AKI,-2.7496,-0.6518094,0.0059668075312886495,0.019873835694362272,0.02618559792114337,0.04103485716425175,0.0003312154294761585
COL12A1,0.00030995216551248675,AKI,-3.1748736,-0.47140235,0.0014990177128436973,0.005450249980257854,0.03123282194792864,0.04856041034857164,0.00033073712736105085
CD84,0.00023484331404242123,AKI,2.8714101,0.7572274,0.004086449399913772,0.013951730490349083,0.0405277097596322,0.025085177281066306,0.0003299404121738188
TBX21,9.00447875216416e-05,AKI,2.878203,1.9566661,0.003999476677002336,0.013670643030491909,0.022187796711808504,0.006701860795986372,0.00032845084274250516
ABCG2,9.560025555255215e-05,Ref,3.2439888,1.5263104,0.001178683584061667,0.005614476787425414,0.0398378283095364,0.01325310010475796,0.0003284110394172431
PDGFRB,0.00023496400503665983,AKI,-2.8873615,-0.73971534,0.003884876068027918,0.013305180922914411,0.020888511318774675,0.03654198959152346,0.0003260573409071004
DCN,0.0001489089944102335,Ref,2.2773783,2.0390446,0.022763648599087527,0.08457244010816684,0.02767495152476644,0.009135868638390138,0.00032572773623445973
TCIM,0.0016249202978520776,CKD,-2.5859919,-0.15065978,0.009709924079439776,0.04678386871071184,0.1368130823350447,0.15059959507864817,0.00032557395497584933
RASAL3,0.0003352779039695941,AKI,2.4558315,0.7167128,0.014055907190878895,0.04441509808453813,0.040977462395682375,0.027893219514021492,0.00032499562654752975
MZB1,0.00026244242795975216,CKD,-2.3248622,-1.1728439,0.020079324602682677,0.08859392741612178,0.011884388667046967,0.024334215854228312,0.00032399328307043906
MMP2,0.00046779211004943237,CKD,3.0750442,0.35866034,0.002104714513981482,0.01189587875109649,0.0529092983456931,0.036092508954991435,0.00032290703993550693
FGFBP2,0.000247913991269583,Ref,-2.1145725,-1.4295336,0.03446639578166485,0.12270970337113829,0.010047593865679535,0.027358881282432333,0.0003229025735356611
IGHG1,0.00016842039335365777,AKI,2.355618,1.5088296,0.018491917706835444,0.057091594588687386,0.019789115986207587,0.007076266427047063,0.0003159769867259338
TFF3,0.00030639841212158137,CKD,2.9560418,0.58178884,0.003116147572625175,0.01695513628438535,0.04397223806807378,0.028033016664071018,0.00031564329410939564
ARHGAP9,0.0002576704663327834,AKI,2.5693748,0.82202315,0.01018822286041117,0.03287088841574753,0.03518065064214682,0.021378561533565463,0.00031415578400849765
CYP24A1,0.00018900373330592033,CKD,-2.4410162,-1.4146299,0.014645996640877732,0.06730347426403348,0.010220574253660391,0.023282977729325652,0.0003133480155664305
SOX17,0.00014541604740589542,AKI,-2.9449568,-1.1017326,0.003229998911175298,0.011176707160679084,0.011943431112887912,0.027893219514021492,0.00031267885715066885
ETS2,0.00224540042777231,CKD,-2.4083228,-0.12134514,0.016026003523576342,0.07277065933057095,0.1566837801863472,0.16936614234542907,0.0003100809768001495
LRRC25,0.00029384040022988875,AKI,2.542217,0.7251821,0.011015173190687315,0.035372279710596435,0.042376692818949575,0.02886667415477929,0.0003092622022728727
GLYATL1,0.0007775312332193926,Ref,2.3633025,0.34066233,0.01811288530010105,0.06885749205164932,0.10787942887361185,0.08892245474699735,0.00030779837511654565
AC004687.1,0.00020131770188544217,Ref,-1.9283255,-2.0568526,0.05381464519096471,0.18210524671780484,0.006522122333862154,0.022242794844933855,0.00030628629347557524
DLL4,0.00012621049316617259,AKI,-2.8885686,-1.2912767,0.003869994362103837,0.013258839322963544,0.008595272600069962,0.02422404432962672,0.00030598028710084036
LYAR,0.0005184996647727715,CKD,-2.7123077,-0.4000701,0.006681655139109989,0.03363903212196476,0.053194523673702226,0.06766858744743809,0.00030558600765448213
LIFR,0.001580440353056853,CKD,3.2355146,0.08983327,0.0012142364585208225,0.007232123987472221,0.18877162958737403,0.17033951097959818,0.0003039331272821085
COL1A2,0.0004505841910350239,Ref,2.6380692,0.45623186,0.008337958427597474,0.0341722841777958,0.06451612903225806,0.04243915511486832,0.0003014339016937311
FILIP1L,0.000611321542910879,AKI,-2.4831543,-0.35538116,0.013022463994953628,0.041362581950102416,0.054969766628354406,0.06829158710547006,0.00030054497771642976
ESM1,0.00035432445773480643,CKD,-1.9544067,-1.1991323,0.05065312908751452,0.1977439602598489,0.009697661152310326,0.020168198099984425,0.00029907300523014245
ARHGEF15,0.0001350342695410674,Ref,3.3503354,0.92124766,0.0008071377466746546,0.0039612975377214255,0.046359950643398554,0.01861280970594684,0.0002988290314530609
SPI1,0.0005724879568367605,Ref,-1.8337927,-0.7918451,0.06668478052524596,0.21918369596237502,0.07103825136612021,0.0835871074621775,0.00029882597526359467
AL138826.1,0.000197316606411847,Ref,2.2147646,1.4989352,0.026776221990672398,0.097717115994464,0.02890886656090252,0.010816868467853924,0.00029873114289134974
PCDH12,0.00011578543700800257,AKI,-3.1839395,-1.1170664,0.001452853441597899,0.005290894792818863,0.011143870871020938,0.028417387397506457,0.00029443878694426523
CLEC10A,0.00017124242037084122,AKI,3.0389428,0.8235665,0.002374099232634964,0.008390554501128394,0.03932836939683174,0.022951065184020368,0.0002928068066204487
PTPN7,0.00018684884509538146,AKI,2.5992186,1.0301839,0.009343626916966418,0.030271953110783376,0.02963370146419469,0.01565015537833689,0.0002923825112746383
AC243960.1,0.00015547542665871598,Ref,-1.906373,-2.6069157,0.05660183328403769,0.19026874254738105,0.0035254715318173806,0.01910005603332765,0.00029208053999108864
CTB-27N1.1,0.00029592773194061036,Ref,2.370006,0.8430401,0.017787795677368635,0.06773531867470246,0.0398378283095364,0.02034253416814871,0.0002916869984949613
EMB,0.00047142519011924823,CKD,-2.5090063,-0.49011567,0.012107136254846048,0.057033889185162626,0.03969385814793687,0.0530680579349011,0.0002873990481406205
